pos_word,math,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Intro.started,Introduction.started,key_resp.started,Intro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Words.started,key_resp_2.started,text.started,Words.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.stopped,DisTask.started,task.started,textbox.started,InstText.started,mouse.started,DisTask.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Recall.started,RecallTask.started,key_resp_3.started,Recall.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Testing.started,TestAns.started,Instr.started,mouse_2.started,Testing.stopped,TestAns.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0,0,0,0,,,,,,,,,,,,,0.00758029999997234,,0.004618099999788683,0.00758029999997234,1.0146058000027551,4.436432000002242,space,3.4015283999979147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h20.21.361,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h20.31.697246 +0530,
lucky,,,,,,0,0,0,13,,,,,,,,,4.482908700003463,,,,,,,,,4.46555570000055,4.482908700003463,5.943086200000835,7.080222900003719,right,2.5836384000067483,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h20.21.361,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h20.31.697246 +0530,
win,,,,,,0,1,1,4,,,,,,,,,7.092004000005545,,,,,,,,,7.081510299998627,7.092004000005545,8.590564099999028,10.224496400005592,right,3.1149078000016743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h20.21.361,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h20.31.697246 +0530,
merry,,,,,,0,2,2,0,,,,,,,,,10.23919670000032,,,,,,,,,10.225293300005433,10.23919670000032,11.737639200000558,13.605499400000554,right,3.364221699994232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h20.21.361,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h20.31.697246 +0530,
joyful,,,,,,0,3,3,11,,,,,,,,,13.619099900002766,,,,,,,,,13.606363999999303,13.619099900002766,15.117859900004987,15.985179700001027,right,2.3509236999962013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h20.21.361,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h20.31.697246 +0530,
fame,,,,,,0,4,4,24,,,,,,,,,16.000564800000575,,,,,,,,,15.986182100001315,16.000564800000575,17.499118500003533,18.38324950000242,right,2.3733444000026793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h20.21.361,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h20.31.697246 +0530,
glory,,,,,,0,5,5,18,,,,,,,,,18.39805720000004,,,,,,,,,18.38411289999931,18.39805720000004,19.896643899999617,22.080136100004893,right,3.6788214999978663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h20.21.361,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h20.31.697246 +0530,
fun,,,,,,0,6,6,6,,,,,,,,,22.09481280000182,,,,,,,,,22.081335200004105,22.09481280000182,23.5934372000047,25.610123700003896,right,3.4981240999986767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h20.21.361,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h20.31.697246 +0530,
warmth,,,,,,0,7,7,21,,,,,,,,,25.624591300002066,,,,,,,,,25.61098650000349,25.624591300002066,27.12359870000364,27.65817020000395,right,2.0209838000009768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h20.21.361,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h20.31.697246 +0530,
cheer,,,,,,0,8,8,16,,,,,,,,,27.672530399999232,,,,,,,,,27.65904479999881,27.672530399999232,29.171473200003675,29.906124200002523,right,2.224875300002168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h20.21.361,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h20.31.697246 +0530,
baby,,,,,,0,9,9,10,,,,,,,,,29.920495099999243,,,,,,,,,29.90691869999864,29.920495099999243,31.41920370000298,32.70344430000114,left,2.771827399999893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h20.21.361,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h20.31.697246 +0530,
profit,,,,,,0,10,10,22,,,,,,,,,32.71784920000209,,,,,,,,,32.70433320000302,32.71784920000209,34.216809100005776,35.201262000002316,right,2.4717287000021315,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h20.21.361,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h20.31.697246 +0530,
comedy,,,,,,0,11,11,5,,,,,,,,,35.21550800000114,,,,,,,,,35.2021539999987,35.21550800000114,36.71454600000288,38.51446660000511,right,3.2930758000002243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h20.21.361,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h20.31.697246 +0530,
proud,,,,,,0,12,12,20,,,,,,,,,38.52940780000063,,,,,,,,,38.5152842000025,38.52940780000063,40.02819889999955,43.343485400000645,right,4.797074199996132,None,43.04174430000421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h20.21.361,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h20.31.697246 +0530,
humor,,,,,,0,13,13,2,,,,,,,,,43.357934899999236,,,,,,,,,43.344312100001844,43.357934899999236,44.85689950000233,45.99103090000426,right,2.6191691999993054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h20.21.361,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h20.31.697246 +0530,
