delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,polygon.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,400,unexp,0,0,0,2,0.017148799961432815,,0.012419499922543764,0.017148799961432815,1.0138724998105317,1.0138724998105317,1.0302375999744982,1.3428360999096185,space,0.31267000013031065,None,1.3461009999737144,2.0480092666732768,2.376052799867466,2.3472802999895066,2.3474115999415517,2.376052799867466,2.376052799867466,2.376052799867466,5.297138599911705,400,1,[2.946367199998349],[2.9463825998827815],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.1,1000,exp,0,1,1,3,5.310206699883565,,5.299120399868116,5.310206699883565,6.310799599858001,6.310799599858001,6.310799599858001,6.993165299994871,space,0.6681286999955773,None,6.993766600033268,7.1080127666393915,7.420529199996963,7.406803400022909,7.406825399957597,7.420529199996963,7.420529199996963,7.420529199996963,10.306596199981868,600,1,[2.898270000005141],[2.8982792999595404],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.1,1000,exp,0,2,2,6,10.321442199870944,,10.30758749996312,10.321442199870944,11.321946099866182,11.321946099866182,11.321946099866182,11.6909258000087,space,0.35721189994364977,None,11.691959999967366,11.805307366481673,,12.106994699919596,12.107046599965543,12.13532459991984,12.13532459991984,12.13532459991984,13.8199918998871,300,1,[1.7102192998863757],[1.710228299954906],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.7,1000,exp,0,3,3,11,13.834847199963406,,13.821456699864939,13.834847199963406,14.836243799887598,14.836243799887598,14.836243799887598,15.521779399830848,space,0.6719124000519514,None,15.522702799877152,16.235067166682953,16.560499999905005,16.53745780000463,16.537505799904466,16.560499999905005,16.560499999905005,16.560499999905005,18.454714899882674,500,1,[1.914589999942109],[1.9146036999300122],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.4,1000,exp,0,4,4,10,18.464920699829236,,18.456723499810323,18.464920699829236,19.464816499967128,19.464816499967128,19.464816499967128,19.75101999985054,space,0.28093489981256425,None,19.751853900030255,20.165404866511622,,20.467212399933487,20.467303599929437,20.490513499826193,20.490513499826193,20.490513499826193,21.951139899902046,300,1,[1.481059700017795],[1.481074000010267],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.7,1000,exp,0,5,5,8,21.96224599983543,,21.95290519995615,21.96224599983543,22.96278079994954,22.96278079994954,22.97788739996031,23.231417099945247,space,0.2642555001657456,None,23.232220199890435,23.94447526667888,24.27025599987246,24.247601500013843,24.247687899973243,24.27025599987246,24.27025599987246,24.27025599987246,25.710942700039595,300,1,[1.4605631998274475],[1.4605792998336256],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.4,1000,exp,0,6,6,4,25.724301799898967,,25.712320499820635,25.724301799898967,26.724043499911204,26.724043499911204,26.724043499911204,27.177363299997523,space,0.44994279998354614,None,27.17817709990777,27.591549466659004,27.91013059997931,27.887153499992564,27.887307199882343,27.91013059997931,27.91013059997931,27.91013059997931,29.072571499971673,400,1,[1.182354599935934],[1.1823646000120789],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.1,1000,exp,0,7,7,9,29.088295199908316,,29.073553999885917,29.088295199908316,30.088269299827516,30.088269299827516,30.088269299827516,30.441120699979365,space,0.3508564999792725,None,30.442093699937686,30.55500036670516,30.879169299965724,30.857765699969605,30.85781309986487,30.879169299965724,30.879169299965724,30.879169299965724,32.072744000004604,300,1,[1.212034999858588],[1.2120473000686616],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.7,1000,exp,0,8,8,5,32.08538079983555,,32.07443049992435,32.08538079983555,33.08491709991358,33.08491709991358,33.08491709991358,33.38689600001089,space,0.29396729986183345,None,33.38776489999145,34.10095666657823,34.42199169984087,34.397382099879906,34.3974506999366,34.42199169984087,34.42199169984087,34.42199169984087,36.56525560002774,700,1,[2.1641468999441713],[2.164157100021839],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
0.4,400,unexp,0,9,9,1,36.58095659990795,,36.56666089990176,36.58095659990795,37.564314499963075,37.564314499963075,37.58175389980897,37.85057229991071,space,0.2707841000519693,None,37.85142039996572,38.26473676652337,38.59076389996335,38.56758869998157,38.567637800006196,38.59076389996335,38.59076389996335,38.59076389996335,39.92758199991658,200,1,[1.3579606998246163],[1.3579673999920487],01,001,2024-11-09_13h03.57.924,IntentionalBindingTask,2024.1.5,None,2024-11-09 13h04.09.149740 +0530,
