stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.029087399947457016,,0.013034899951890111,0.029087399947457016,0.5659891999093816,0.5659891999093816,0.5774752999423072,0.8776945999125019,1.307490999926813,right,10.0,1,1,0.6577660000184551,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
1,2,8.0,1.3273881999775767,,1.3076254999032244,1.3273881999775767,1.8103571999818087,1.8103571999818087,1.8412922999123111,2.110168599989265,2.328622299944982,right,8.0,1,1,0.502377700060606,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
2,2,6.0,2.3428492998937145,,2.3287252999143675,2.3428492998937145,2.8435758999548852,2.8435758999548852,2.8435758999548852,3.1418112999526784,3.2762140999548137,right,6.0,1,1,0.4287381999893114,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
3,2,4.0,3.2923497000010684,,3.2762958999956027,3.2923497000010684,3.7751856999238953,3.7751856999238953,3.7920024999184534,4.0743807998951524,4.327679899986833,left,-4.0,1,1,0.5485558999935165,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
4,2,2.0,4.341667999979109,,4.327775099896826,4.341667999979109,4.841606899979524,4.841606899979524,4.841606899979524,5.140054499963298,5.592914999928325,right,2.0,1,1,0.7351869000121951,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
5,2,1.0,5.606946699903347,,5.593009399948642,5.606946699903347,6.106684400001541,6.106684400001541,6.106684400001541,6.406295399996452,6.85820999997668,right,1.0,1,1,0.7410094999941066,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
6,2,1.0,6.872187000000849,,6.858290399890393,6.872187000000849,7.372056099935435,7.372056099935435,7.372056099935435,7.672015499905683,8.057567399926484,right,1.0,1,1,0.6804866000311449,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
7,2,1.0,8.071516899974085,,8.057684999890625,8.071516899974085,8.571448399918154,8.571448399918154,8.571448399918154,8.870685099973343,9.023083899985068,left,-1.0,1,1,0.4489078000187874,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
8,2,1.0,9.03690949990414,,9.023160099983215,9.03690949990414,9.536746399942786,9.536746399942786,9.536746399942786,9.836111799930222,10.304563299985602,right,1.0,1,1,0.766252400004305,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
9,2,1.0,10.319730299990624,,10.304647499928251,10.319730299990624,10.81978879997041,10.81978879997041,10.81978879997041,11.135245199897327,11.636401499970816,left,-1.0,1,1,0.801200499990955,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
10,1,1.0,11.652521099895239,,11.63650299992878,11.652521099895239,12.15167539997492,12.15167539997492,12.1679813999217,12.45157689996995,12.468990299967118,left,-1.0,0,0,0.3140146000077948,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
11,1,2.0,12.48492359998636,,12.469094599946402,12.48492359998636,12.967085999902338,12.967085999902338,13.000169899896719,13.267541399924085,13.368674099911004,left,-2.0,1,1,0.39730329997837543,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
12,1,2.0,13.38376979995519,,13.3688008999452,13.38376979995519,13.883726499974728,13.883726499974728,13.899396299966611,14.183087699930184,14.285221399972215,right,2.0,1,1,0.39926510001532733,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
13,1,2.0,14.298912299913354,,14.28530019999016,14.298912299913354,14.799122099997476,14.799122099997476,14.799122099997476,15.098069099942222,15.383653899887577,left,-2.0,1,1,0.5816093999892473,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
14,0.5,1.0,15.397861499921419,,15.383731399895623,15.397861499921419,15.897747499984689,15.897747499984689,15.897747499984689,16.197064299951307,16.465351599967107,left,-1.0,0,0,0.5576215999899432,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
15,0.5,1.5,16.48118899995461,,16.465482199913822,16.48118899995461,16.980792699963786,16.980792699963786,16.980792699963786,17.29640239989385,17.34804269997403,right,1.5,0,0,0.3577182999579236,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
16,0.5,2.0,17.36244599998463,,17.348121299990453,17.36244599998463,17.862225799937733,17.862225799937733,17.862225799937733,18.162117199972272,18.39655799989123,left,-2.0,1,1,0.5194256999529898,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
17,0.5,2.0,18.412705199909396,,18.39662309992127,18.412705199909396,18.912086399970576,18.912086399970576,18.928039599908516,19.211709799943492,19.579945999896154,left,-2.0,1,1,0.663507999968715,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
18,0.5,2.0,19.594185999943875,,19.580047499970533,19.594185999943875,20.09313509997446,20.09313509997446,20.09313509997446,20.39327359991148,36.8137767999433,left,-2.0,0,0,16.708869399968535,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
19,0.5,2.5,36.82782119989861,,36.81392429990228,36.82782119989861,37.32766999991145,37.32766999991145,37.32766999991145,37.62676879996434,41.177046199911274,right,2.5,1,1,3.8408636999083683,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
20,0.5,2.5,41.19038109993562,,41.17711719998624,41.19038109993562,41.68997629999649,41.68997629999649,41.68997629999649,41.98978799988981,42.341998799936846,right,2.5,1,1,0.6434036999708042,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
21,0.5,2.5,42.35689579998143,,42.342141499975696,42.35689579998143,42.85630979994312,42.85630979994312,42.872075099963695,43.15604109992273,43.30727130000014,left,-2.5,1,1,0.44504670007154346,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
22,0.5,2.0,43.322385799954645,,43.30735929997172,43.322385799954645,43.82239609991666,43.82239609991666,43.82239609991666,44.13764749991242,44.23874269996304,left,-2.0,1,1,0.4065299000358209,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
23,0.5,2.0,44.255228299996816,,44.238817199948244,44.255228299996816,44.75501289998647,44.75501289998647,44.77035609993618,45.069836499984376,45.30515139992349,left,-2.0,1,1,0.5482638999819756,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
24,0.5,2.0,45.32104640000034,,45.305242399917915,45.32104640000034,45.8204350998858,45.8204350998858,45.836255299975164,46.11970089992974,46.23806849995162,left,-2.0,1,1,0.4107469000155106,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
25,0.5,1.5,46.25317079992965,,46.238381899893284,46.25317079992965,46.75321699993219,46.75321699993219,46.76862439990509,47.05221509991679,47.03742259996943,right,1.5,0,0,0.27725529996678233,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
26,0.5,2.0,47.05221509991679,,47.037569299922325,47.05221509991679,47.55218319990672,47.55218319990672,47.55218319990672,47.86820759996772,48.02050629991572,right,2.0,1,1,0.4574463999597356,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
27,0.5,2.0,48.03394399990793,,48.02058459992986,48.03394399990793,48.53351869992912,48.53351869992912,48.53351869992912,48.832976599922404,48.9192532999441,right,2.0,1,1,0.36932769999839365,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
28,0.5,2.0,48.93342049990315,,48.91934369993396,48.93342049990315,49.43287879996933,49.43287879996933,49.43287879996933,49.732200799975544,49.85177829989698,left,-2.0,1,1,0.41698509990237653,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
29,0.5,1.5,49.86560149991419,,49.851848499965854,49.86560149991419,50.36538269999437,50.36538269999437,50.36538269999437,50.66504469991196,52.73207669996191,left,-1.5,1,1,2.3598554999334738,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
30,0.5,1.5,52.74647259991616,,52.732148099923506,52.74647259991616,53.24648949992843,53.24648949992843,53.24648949992843,53.54562329989858,53.93107409996446,right,1.5,1,1,0.6782143000746146,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
31,0.5,1.5,53.94520749989897,,53.93116289994214,53.94520749989897,54.44486589997541,54.44486589997541,54.44486589997541,54.74464759998955,54.91304259991739,right,1.5,1,1,0.4647330999141559,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
32,0.5,1.0,54.92802029999439,,54.91318339994177,54.92802029999439,55.42822379991412,55.42822379991412,55.42822379991412,55.74350429989863,55.99810419999994,left,-1.0,1,1,0.5586091999430209,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
33,0.5,1.0,56.01111829990987,,55.99822569999378,56.01111829990987,56.5099880999187,56.5099880999187,56.5099880999187,56.809393299976364,56.8953627999872,right,1.0,0,0,0.3795641999458894,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
34,0.5,1.5,56.90926139999647,,56.895472499891184,56.90926139999647,57.40897289989516,57.40897289989516,57.40897289989516,57.708826199988835,57.89459819998592,right,1.5,0,0,0.46915160003118217,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
35,0.5,2.0,57.908229399938136,,57.894684099941514,57.908229399938136,58.408256899914704,58.408256899914704,58.408256899914704,58.707961099920794,58.92720669996925,left,-2.0,1,1,0.5110457999398932,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
36,0.5,2.0,58.94082449993584,,58.92730409989599,58.94082449993584,59.440461799968034,59.440461799968034,59.440461799968034,59.739970099995844,59.9591100999387,right,2.0,1,1,0.5109033000189811,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
37,0.5,2.0,59.9732137999963,,59.95920259994455,59.9732137999963,60.47253319993615,60.47253319993615,60.47253319993615,60.77219469996635,60.9912319999421,left,-2.0,1,1,0.5119170000543818,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
38,0.5,1.5,61.00506269990001,,60.99130869994406,61.00506269990001,61.50628459989093,61.50628459989093,61.50628459989093,61.8047875999473,62.05679479998071,left,-1.5,1,1,0.5429481000173837,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
39,0.5,1.5,62.07117989996914,,62.05687179998495,62.07117989996914,62.570613399962895,62.570613399962895,62.570613399962895,62.87003689992707,62.93895669991616,left,-1.5,1,1,0.36321900004986674,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
40,0.5,1.5,62.95403729996178,,62.93903379992116,62.95403729996178,63.45377289992757,63.45377289992757,63.46962150000036,63.753636999987066,63.954466599971056,right,1.5,1,1,0.4913715000730008,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
41,0.5,1.0,63.96928029996343,,63.95453999994788,63.96928029996343,64.47022499993909,64.47022499993909,64.47022499993909,64.76853799994569,65.03630339994561,right,1.0,1,1,0.5593491999898106,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
42,0.5,1.0,65.05261359992437,,65.03637180000078,65.05261359992437,65.53436999989208,65.53436999989208,65.56795259995852,65.83367689989973,65.9861818999052,right,1.0,1,1,0.44248259998857975,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
43,0.5,1.0,66.00068539998028,,65.98633309989236,66.00068539998028,66.50026819994673,66.50026819994673,66.50026819994673,66.7995928999735,66.90155179996509,right,1.0,1,1,0.38929429999552667,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
44,0.5,1.0,66.91747569991276,,66.90162139991298,66.91747569991276,67.41696429997683,67.41696429997683,67.43264979997184,67.73217549989931,68.16733349999413,left,-1.0,1,1,0.7487048000330105,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
45,0.5,1.0,68.182569699944,,68.16747059999034,68.182569699944,68.68248429999221,68.68248429999221,68.6979964999482,68.9977932999609,69.73204509995412,left,-1.0,1,1,1.0422401999821886,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
46,0.5,1.0,69.74792339990381,,69.73219859995879,69.74792339990381,70.2478157998994,70.2478157998994,70.26368979993276,70.5629904998932,70.71579679998104,right,1.0,1,1,0.463990299962461,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
47,0.5,1.0,70.7297447999008,,70.71588839998003,70.7297447999008,71.22901419992559,71.22901419992559,71.22901419992559,71.52864169992972,71.74776029994246,left,-1.0,1,1,0.5156562000047415,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
48,0.5,1.0,71.7620154999895,,71.74784359999467,71.7620154999895,72.26130939996801,72.26130939996801,72.26130939996801,72.56121739989612,72.79591619991697,left,-1.0,1,1,0.5293461000546813,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
49,0.5,1.0,72.81168859999161,,72.7959973999532,72.81168859999161,73.31115089997184,73.31115089997184,73.32729289995041,73.61108019994572,73.87928029999603,left,-1.0,1,1,0.5615366999991238,541056,001,2024-09-06_11h03.33.044,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-06 11h03.34.318653 +0530,
