stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.032024200074374676,,0.012832700042054057,0.032024200074374676,0.5288978000171483,0.5288978000171483,0.547865999978967,0.8308708000695333,1.122588700032793,right,10.0,1,1,0.5781970000825822,525091,001,2024-08-21_23h57.07.435,AdaptiveStaircaseProcedure,2024.1.5,None,2024-08-21 23h57.14.168780 +0530,
1,2,8.0,1.1447737000416964,,1.1226968000410125,1.1447737000416964,1.6306528000859544,1.6306528000859544,1.6476369000738487,1.932377599994652,2.2666082000359893,right,8.0,1,1,0.6248169000027701,525091,001,2024-08-21_23h57.07.435,AdaptiveStaircaseProcedure,2024.1.5,None,2024-08-21 23h57.14.168780 +0530,
2,2,6.0,2.2816662000259385,,2.266746500041336,2.2816662000259385,2.7813793000532314,2.7813793000532314,2.7813793000532314,3.095547500066459,3.130220500053838,left,-6.0,1,1,0.33210829994641244,525091,001,2024-08-21_23h57.07.435,AdaptiveStaircaseProcedure,2024.1.5,None,2024-08-21 23h57.14.168780 +0530,
3,2,4.0,3.145276500028558,,3.13030770001933,3.145276500028558,3.645437499973923,3.645437499973923,3.645437499973923,3.9461906000506133,4.100158200017177,left,-4.0,1,1,0.43936800002120435,525091,001,2024-08-21_23h57.07.435,AdaptiveStaircaseProcedure,2024.1.5,None,2024-08-21 23h57.14.168780 +0530,
4,2,2.0,4.114062600070611,,4.10034500004258,4.114062600070611,4.61303060001228,4.61303060001228,4.629148200037889,4.911970100016333,5.080641900072806,right,2.0,1,1,0.4594930000603199,525091,001,2024-08-21_23h57.07.435,AdaptiveStaircaseProcedure,2024.1.5,None,2024-08-21 23h57.14.168780 +0530,
5,2,1.0,5.095256200060248,,5.080813799984753,5.095256200060248,5.595860800007358,5.595860800007358,5.595860800007358,,5.829748700023629,left,-1.0,1,1,0.22171810001600534,525091,001,2024-08-21_23h57.07.435,AdaptiveStaircaseProcedure,2024.1.5,None,2024-08-21 23h57.14.168780 +0530,
6,1,1.0,5.845350700081326,,5.82988940004725,5.845350700081326,6.344598100055009,6.344598100055009,6.344598100055009,6.643409300013445,6.678883000044152,left,-1.0,0,0,0.32720689999405295,525091,001,2024-08-21_23h57.07.435,AdaptiveStaircaseProcedure,2024.1.5,None,2024-08-21 23h57.14.168780 +0530,
7,1,2.0,6.69424840004649,,6.6790257000830024,6.69424840004649,7.193585700006224,7.193585700006224,7.193585700006224,,7.39609160006512,left,-2.0,1,1,0.20044249994680285,525091,001,2024-08-21_23h57.07.435,AdaptiveStaircaseProcedure,2024.1.5,None,2024-08-21 23h57.14.168780 +0530,
8,1,2.0,7.409491700003855,,7.396255200030282,7.409491700003855,7.90979469998274,7.90979469998274,7.90979469998274,,8.128452499979176,right,2.0,1,1,0.21004540007561445,525091,001,2024-08-21_23h57.07.435,AdaptiveStaircaseProcedure,2024.1.5,None,2024-08-21 23h57.14.168780 +0530,
9,1,2.0,8.144353199983016,,8.128592099994421,8.144353199983016,8.644185099983588,8.644185099983588,8.65914270002395,,8.710291700088419,left,-2.0,1,1,0.05618000007234514,525091,001,2024-08-21_23h57.07.435,AdaptiveStaircaseProcedure,2024.1.5,None,2024-08-21 23h57.14.168780 +0530,
10,1,1.0,8.72521860001143,,8.710427900077775,8.72521860001143,9.224615200073458,9.224615200073458,9.241507100057788,9.525102999992669,10.126320000039414,left,-1.0,1,1,0.8983367000473663,525091,001,2024-08-21_23h57.07.435,AdaptiveStaircaseProcedure,2024.1.5,None,2024-08-21 23h57.14.168780 +0530,
