stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,20.0,0.03084140000100888,,0.009983100000681588,0.03084140000100888,0.5267032000010659,0.5267032000010659,0.549163600000611,0.8317308000005141,1.0102299000009225,right,20.0,1,1,0.4066640000000916,702782,001,2024-09-12_20h16.11.829,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 20h16.16.870979 +0530,
1,2,18.0,1.0257159000011598,,1.0103102000011859,1.0257159000011598,1.5131422000013117,1.5131422000013117,1.5284238000003825,1.828145700001187,2.0501999000007345,right,18.0,1,1,0.5272726000002876,702782,001,2024-09-12_20h16.11.829,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 20h16.16.870979 +0530,
2,2,16.0,2.063611999999921,,2.050339500001428,2.063611999999921,2.563542200001393,2.563542200001393,2.563542200001393,2.8636200000000827,3.015982900000381,right,16.0,1,1,0.4462929000001168,702782,001,2024-09-12_20h16.11.829,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 20h16.16.870979 +0530,
3,2,14.0,3.0297731000009662,,3.016121900000144,3.0297731000009662,3.5294486000002507,3.5294486000002507,3.5294486000002507,3.843040200001269,3.961704200000895,left,-14.0,1,1,0.42608819999986736,702782,001,2024-09-12_20h16.11.829,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 20h16.16.870979 +0530,
4,2,12.0,3.9764055000014196,,3.9617634000005637,3.9764055000014196,4.477350800001659,4.477350800001659,4.477350800001659,4.778262700001505,4.946643799999947,right,12.0,1,1,0.45528050000029907,702782,001,2024-09-12_20h16.11.829,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 20h16.16.870979 +0530,
5,2,10.0,4.962284200000795,,4.946779000001698,4.962284200000795,5.461632200000167,5.461632200000167,5.478130600000441,5.7772187999999005,6.063330599999972,right,10.0,1,1,0.5838404999994964,702782,001,2024-09-12_20h16.11.829,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 20h16.16.870979 +0530,
6,2,8.0,6.077110100000937,,6.063465700000961,6.077110100000937,6.574452100001508,6.574452100001508,6.594216000001325,6.876309200000833,6.977992300000551,right,8.0,1,1,0.39986060000046564,702782,001,2024-09-12_20h16.11.829,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 20h16.16.870979 +0530,
7,2,6.0,6.993490100001509,,6.978125800000271,6.993490100001509,7.490195500000482,7.490195500000482,7.5063436000000365,7.790197000000262,7.906717200001367,left,-6.0,1,1,0.4066811999982747,702782,001,2024-09-12_20h16.11.829,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 20h16.16.870979 +0530,
8,2,4.0,7.9232919000005495,,7.9067757000011625,7.9232919000005495,8.405735300000742,8.405735300000742,8.42289090000122,8.705165300001681,8.809662100000423,left,-4.0,1,1,0.397663099998681,702782,001,2024-09-12_20h16.11.829,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 20h16.16.870979 +0530,
9,2,2.0,8.825105500000063,,8.809798400001455,8.825105500000063,9.325215500000922,9.325215500000922,9.325215500000922,9.63958200000161,9.857585800000379,right,2.0,1,1,0.5307425999999396,702782,001,2024-09-12_20h16.11.829,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-12 20h16.16.870979 +0530,
