stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,20.0,0.03294509998522699,,0.012881800066679716,0.03294509998522699,0.5290079000405967,0.5290079000405967,0.5489004999399185,0.831256200093776,4.199026999995112,left,-20.0,0,0,3.6128556998446584,464732,001,2024-09-10_22h49.23.281,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h49.28.947872 +0530,
1,2,22.0,4.2087488998658955,,4.19910249998793,4.2087488998658955,4.713990299962461,4.713990299962461,4.713990299962461,5.028351099928841,5.777700799982995,left,-22.0,0,0,1.057364400010556,464732,001,2024-09-10_22h49.23.281,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h49.28.947872 +0530,
2,1,24.0,5.793931199936196,,5.7777599999681115,5.793931199936196,6.276290999958292,6.276290999958292,6.293809599941596,6.575779699953273,6.84427100000903,right,24.0,1,1,0.5667836000211537,464732,001,2024-09-10_22h49.23.281,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h49.28.947872 +0530,
3,1,23.0,6.859853900037706,,6.8443571999669075,6.859853900037706,7.359190699877217,7.359190699877217,7.375197699991986,7.658801099983975,7.879040299914777,right,23.0,1,1,0.5145743999164551,464732,001,2024-09-10_22h49.23.281,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h49.28.947872 +0530,
4,1,23.0,7.895113799953833,,7.87917730002664,7.895113799953833,8.394128300016746,8.394128300016746,8.410403999965638,8.707273500040174,8.858449599938467,right,23.0,1,1,0.46313829999417067,464732,001,2024-09-10_22h49.23.281,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h49.28.947872 +0530,
5,1,23.0,8.873906800057739,,8.858506399905309,8.873906800057739,9.373359699966386,9.373359699966386,9.373359699966386,9.673004699870944,9.828462699893862,right,23.0,1,1,0.4463115001562983,464732,001,2024-09-10_22h49.23.281,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h49.28.947872 +0530,
6,1,22.0,9.841585400048643,,9.828608799958602,9.841585400048643,10.339077099924907,10.339077099924907,10.356749099912122,10.641005499986932,10.991553199943155,right,22.0,1,1,0.6400578999891877,464732,001,2024-09-10_22h49.23.281,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h49.28.947872 +0530,
7,1,22.0,11.00587229989469,,10.991679199971259,11.00587229989469,11.489623700035736,11.489623700035736,11.505643599899486,11.804728100076318,11.922101899981499,left,-22.0,0,0,0.42429409991018474,464732,001,2024-09-10_22h49.23.281,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h49.28.947872 +0530,
8,1,23.0,11.937695400090888,,11.92217839998193,11.937695400090888,12.439646699931473,12.439646699931473,12.439646699931473,12.753881899872795,13.358985600061715,right,23.0,0,0,0.9017256000079215,464732,001,2024-09-10_22h49.23.281,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h49.28.947872 +0530,
9,1,24.0,13.37207859987393,,13.359118100022897,13.37207859987393,13.869408099912107,13.869408099912107,13.88648230000399,14.168859699973837,14.287077399902046,left,-24.0,1,1,0.40665119979530573,464732,001,2024-09-10_22h49.23.281,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h49.28.947872 +0530,
10,1,24.0,14.302026399876922,,14.287144900066778,14.302026399876922,14.802456500008702,14.802456500008702,14.802456500008702,15.10122529999353,16.30116660008207,right,24.0,1,1,1.4869173998013139,464732,001,2024-09-10_22h49.23.281,AdaptiveStaircaseProcedure,2024.1.5,None,2024-09-10 22h49.28.947872 +0530,
