neut_words,math,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Intro.started,Introduction.started,key_resp.started,Intro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Words.started,key_resp_2.started,text.started,text.stopped,Words.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,DisTask.started,task.started,textbox.started,InstText.started,mouse.started,DisTask.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Recall.started,RecallTask.started,key_resp_3.started,Recall.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Test.started,TestAns.started,Instr.started,mouse_2.started,Test.stopped,TestAns.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
truck,,,,,,0,19,19,15,,,,,,,,,59.187266199995065,,,,,,,,,59.17178299999796,59.187266199995065,60.68608119999408,,61.402799100003904,right,2.2141122999892104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
egg,,,,,,0,20,20,17,,,,,,,,,61.41827789999661,,,,,,,,,61.403341800003545,61.41827789999661,62.91709360000095,,63.567734399985056,right,2.134310800000094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
flag,,,,,,0,21,21,9,,,,,,,,,63.58325520000653,,,,,,,,,63.56828599999426,63.58325520000653,65.08191499998793,,65.9496785000083,right,2.3644177000096533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
nurse,,,,,,0,22,22,22,,,,,,,,,65.96438429999398,,,,,,,,,65.9504702000122,65.96438429999398,67.46283539998694,,67.94702829999733,right,1.9772053000051528,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
salad,,,,,,0,23,23,11,,,,,,,,,67.96246079998673,,,,,,,,,67.94767299998784,67.96246079998673,69.4614075999998,,69.86303320000297,right,1.890066799998749,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
fabric,,,,,,0,24,24,2,,,,,,,,,69.87772009999026,,,,,,,,,69.86388029999216,69.87772009999026,71.37609139998676,,72.35930859998916,right,2.479930000001332,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,84 + 35 =,,,,,,,,,0,0,0,13,,,,,72.3822089000023,,,,,,,,,,,,,,,,,72.36317560001044,72.3822089000023,72.3822089000023,72.3822089000023,0.01063510001404211,82.36933889999636,,[0.05092592592592592],[-0.010185185185185186],[1],[0],[0],[5.884984300006181],[],,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,28 + 31 =,,,,,,,,,0,1,1,10,,,,,82.38486699998612,,,,,,,,,,,,,,,,,82.37162640001043,82.38486699998612,82.38486699998612,82.38486699998612,0.01598809999995865,92.37375769999926,5,"[0.016666666666666666, 0.016666666666666666]","[-0.007407407407407408, -0.007407407407407408]","[1, 1]","[0, 0]","[0, 0]","[6.884242000000086, 7.2346227999951225]",[],,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,10 + 15 =,,,,,,,,,0,2,2,0,,,,,92.40011359998607,,,,,,,,,,,,,,,,,92.3753687000135,92.40011359998607,92.40011359998607,92.40011359998607,0.025087100017117336,97.12095700000646,25,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[4.735177199996542],['InstText'],,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
,69 - 12 =,,,,,,,,,0,3,3,1,,,,,97.14991959999315,,,,,,,,,,,,,,,,,97.12219900000491,97.14991959999315,97.14991959999315,97.14991959999315,0.012540800002170727,100.5330985999899,57,[0.032407407407407406],[-0.3111111111111111],[1],[0],[0],[3.3977050999819767],['InstText'],,,,,,,,,,,,,,,,,,,,,04,001,2024-12-04_10h54.23.708,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 10h54.55.681079 +0530,
