neut_words,math,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Intro.started,Introduction.started,key_resp.started,Intro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Words.started,key_resp_2.started,text.started,text.stopped,Words.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,DisTask.started,task.started,textbox.started,InstText.started,mouse.started,DisTask.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Recall.started,RecallTask.started,key_resp_3.started,Recall.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Test.started,TestAns.started,Instr.started,mouse_2.started,Test.stopped,TestAns.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0,0,0,0,,,,,,,,,,,,,0.013539100007619709,,0.007557200005976483,0.013539100007619709,1.010083900007885,4.67379980001715,space,3.6489619000058156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h12.25.642,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h12.36.287714 +0530,
egg,,,,,,0,0,0,17,,,,,,,,,4.703718900011154,,,,,,,,,4.687062800017884,4.703718900011154,6.1883794000023045,9.20225980001851,10.15342889999738,right,5.446227300009923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h12.25.642,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h12.36.287714 +0530,
black,,,,,,0,1,1,7,,,,,,,,,10.167497000016738,,,,,,,,,10.154724899999565,10.167497000016738,11.666685400006827,,12.517613300005905,right,2.3334201000106987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h12.25.642,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h12.36.287714 +0530,
locker,,,,,,0,2,2,5,,,,,,,,,12.532250200019917,,,,,,,,,12.518363800016232,12.532250200019917,14.031205200008117,,14.782498400018085,left,2.242118299996946,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h12.25.642,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h12.36.287714 +0530,
paper,,,,,,0,3,3,16,,,,,,,,,14.796727300010389,,,,,,,,,14.783383700007107,14.796727300010389,16.295815300021786,,18.89536210001097,right,4.095612300006906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h12.25.642,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h12.36.287714 +0530,
lion,,,,,,0,4,4,4,,,,,,,,,18.90953260002425,,,,,,,,,18.896231600025203,18.90953260002425,20.408077400003094,,22.491592600010335,left,3.574860399996396,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h12.25.642,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h12.36.287714 +0530,
custom,,,,,,0,5,5,8,,,,,,,,,22.506231800012756,,,,,,,,,22.492617000010796,22.506231800012756,24.004717400006484,,25.072978700016392,left,2.557445300015388,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h12.25.642,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h12.36.287714 +0530,
market,,,,,,0,6,6,18,,,,,,,,,25.087411800021073,,,,,,,,,25.073754900018685,25.087411800021073,26.586077100015245,,27.371090200002072,left,2.281585000018822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h12.25.642,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h12.36.287714 +0530,
nurse,,,,,,0,7,7,22,,,,,,,,,27.385290800011717,,,,,,,,,27.371843300003093,27.385290800011717,28.883954100019764,,29.71867000000202,left,2.3269762999843806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h12.25.642,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h12.36.287714 +0530,
tool,,,,,,0,8,8,19,,,,,,,,,29.73320539999986,,,,,,,,,29.719587800005684,29.73320539999986,31.23179690001416,,32.649198400002206,left,2.9070312999829184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h12.25.642,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h12.36.287714 +0530,
basket,,,,,,0,9,9,1,,,,,,,,,32.66363980001188,,,,,,,,,32.649949800019385,32.66363980001188,34.16236509999726,,34.64674399999785,left,1.9705235000001267,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h12.25.642,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h12.36.287714 +0530,
salad,,,,,,0,10,10,11,,,,,,,,,34.661638200021116,,,,,,,,,34.64749520001351,34.661638200021116,36.160353600018425,,37.09475190000376,left,2.4181967000185978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h12.25.642,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h12.36.287714 +0530,
trunk,,,,,,0,11,11,0,,,,,,,,,37.10960620001424,,,,,,,,,37.0956889000081,37.10960620001424,38.60820050002076,,39.19292620001943,left,2.0682751999993343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h12.25.642,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h12.36.287714 +0530,
