neut_words,math,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Intro.started,Introduction.started,key_resp.started,Intro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Words.started,key_resp_2.started,text.started,text.stopped,Words.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,DisTask.started,task.started,textbox.started,InstText.started,mouse.started,DisTask.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Recall.started,RecallTask.started,key_resp_3.started,Recall.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Test.started,TestAns.started,Instr.started,mouse_2.started,Test.stopped,TestAns.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0,0,0,0,,,,,,,,,,,,,0.008717100135982037,,0.005357199814170599,0.008717100135982037,1.0145290000364184,1.240591499954462,space,0.21424080012366176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h46.59.155,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h47.12.086762 +0530,
butter,,,,,,0,0,0,14,,,,,,,,,1.268628299701959,,,,,,,,,1.251980499830097,1.268628299701959,2.74651680001989,5.760177199728787,5.911548899952322,left,4.633655000012368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h46.59.155,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h47.12.086762 +0530,
tool,,,,,,0,1,1,19,,,,,,,,,5.9263272997923195,,,,,,,,,5.9128338997252285,5.9263272997923195,7.425000799819827,,8.391668300144374,left,2.4503792002797127,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h46.59.155,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h47.12.086762 +0530,
fabric,,,,,,0,2,2,2,,,,,,,,,8.40734659973532,,,,,,,,,8.392162799835205,8.40734659973532,9.905846499837935,,10.623461899813265,left,2.203233199659735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h46.59.155,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h47.12.086762 +0530,
finger,,,,,,0,3,3,10,,,,,,,,,10.63845119997859,,,,,,,,,10.62422400014475,10.63845119997859,12.137195999734104,,12.754468699917197,left,2.1103473999537528,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h46.59.155,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h47.12.086762 +0530,
locker,,,,,,0,4,4,5,,,,,,,,,12.7698475997895,,,,,,,,,12.755000399891287,12.7698475997895,14.268350800033659,,14.96903849998489,left,2.1888449997641146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h46.59.155,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h47.12.086762 +0530,
jelly,,,,,,0,5,5,3,,,,,,,,,14.984407300129533,,,,,,,,,14.96956710005179,14.984407300129533,16.48346549971029,,17.13574909977615,left,2.1358393002301455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h46.59.155,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h47.12.086762 +0530,
egg,,,,,,0,6,6,17,,,,,,,,,17.149502200074494,,,,,,,,,17.137078700121492,17.149502200074494,18.647905599791557,,19.25118080014363,left,2.0883364998735487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h46.59.155,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h47.12.086762 +0530,
trunk,,,,,,0,7,7,0,,,,,,,,,19.263789999764413,,,,,,,,,19.252465600147843,19.263789999764413,20.762430099770427,,21.663936299737543,right,2.382929100189358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h46.59.155,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h47.12.086762 +0530,
lion,,,,,,0,8,8,4,,,,,,,,,21.679104200098664,,,,,,,,,21.664783999789506,21.679104200098664,23.177625299897045,,23.710922500118613,left,2.0280633000656962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h46.59.155,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h47.12.086762 +0530,
