reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,60,89,0,0,0,4,0.09740899968892336,,0.010419899597764015,0.09740899968892336,1.0057851998135448,1.0057851998135448,1.106219899840653,143.89522759988904,t,142.86832769960165,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
15,35,13,0,1,1,1,143.91308949980885,,143.8963750996627,143.91308949980885,144.90491299983114,144.90491299983114,144.920650199987,146.03997879987583,l,1.1315077003091574,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
67,75,119,0,2,2,5,146.06111099990085,,146.04112780001014,146.06111099990085,147.05244359979406,147.05244359979406,147.06912449980155,147.75447029992938,t,0.6990034999325871,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
11,30,7,0,3,3,0,147.77077239984646,,147.75560189969838,147.77077239984646,148.76798269990832,148.76798269990832,148.7839383999817,149.66929899994284,l,0.8830463998019695,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
40,55,62,0,4,4,3,149.68596879998222,,149.67038369970396,149.68596879998222,150.68204770004377,150.68204770004377,150.69939559977502,151.5840181997046,t,0.893703700043261,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
27,50,21,0,5,5,2,151.5989269996062,,151.58507179981098,151.5989269996062,152.5976871997118,152.5976871997118,152.61348439985886,153.76708889985457,t,1.1588979000225663,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
78,80,162,0,6,6,6,153.78211179981008,,153.7682652999647,153.78211179981008,154.77760249981657,154.77760249981657,154.79521889984608,155.64718429977074,t,0.8527307002805173,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
11,30,7,1,0,7,0,155.66149469977245,,155.6482877000235,155.66149469977245,156.66078419983387,156.66078419983387,156.67624840000644,157.67778939986601,l,1.0079622999764979,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
67,75,119,1,1,8,5,157.693348699715,,157.6788563998416,157.693348699715,158.6916387998499,158.6916387998499,158.7078501000069,159.65940209990367,t,0.9581315997056663,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
78,80,162,1,2,9,6,159.6748476997018,,159.6604430996813,159.6748476997018,160.67425619997084,160.67425619997084,160.68987839994952,161.5579307996668,t,0.8681484996341169,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
15,35,13,1,3,10,1,161.57349810004234,,161.55896559963003,161.57349810004234,162.57071230001748,162.57071230001748,162.58827099995688,163.70535949990153,t,1.121132199652493,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
40,55,62,1,4,11,3,163.72230909997597,,163.70643089991063,163.72230909997597,164.71828609984368,164.71828609984368,164.73376629967242,165.93657959997654,t,1.2133917999453843,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
27,50,21,1,5,12,2,165.95265789981931,,165.93772639986128,165.95265789981931,166.9422430000268,166.9422430000268,166.95166649995372,170.416324199643,l,3.4699973999522626,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
49,60,89,1,6,13,4,170.4320097998716,,170.41733959969133,170.4320097998716,171.42969150003046,171.42969150003046,171.44709849962965,172.396828699857,t,0.9528731000609696,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
27,50,21,2,0,14,2,172.41378389997408,,172.3978482997045,172.41378389997408,173.412308299914,173.412308299914,173.4275872996077,174.61246049962938,l,1.1960736000910401,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
49,60,89,2,1,15,4,174.6284730997868,,174.6134484000504,174.6284730997868,175.6255049998872,175.6255049998872,175.64299759967253,176.1778762997128,t,0.5416943002492189,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
11,30,7,2,2,16,0,176.19234029995278,,176.17888739984483,176.19234029995278,177.19048239989206,177.19048239989206,177.19048239989206,178.00925139989704,l,0.807515500113368,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
78,80,162,2,3,17,6,178.02391440002248,,178.010420399718,178.02391440002248,179.0223025996238,179.0223025996238,179.0223025996238,180.14088519988582,t,1.109481300227344,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
40,55,62,2,4,18,3,180.15526639996096,,180.14193039992824,180.15526639996096,181.1533428998664,181.1533428998664,181.17137699993327,182.47186969965696,t,1.309273200109601,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
67,75,119,2,5,19,5,182.48652100004256,,182.47284539975226,182.48652100004256,183.48483729967847,183.48483729967847,183.48483729967847,184.4702559998259,t,0.9782243999652565,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
15,35,13,2,6,20,1,184.48446289962158,,184.4712339998223,184.48446289962158,185.48278780002147,185.48278780002147,185.48278780002147,186.50128829991445,l,1.004049599636346,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
49,60,89,3,0,21,4,186.51609189994633,,186.50232419976965,186.51609189994633,187.51410769997165,187.51410769997165,187.53241429990157,188.3333218996413,t,0.8033983996137977,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
67,75,119,3,1,22,5,188.3484180998057,,188.33444229979068,188.3484180998057,189.34616139996797,189.34616139996797,189.36310279974714,190.44681569980457,t,1.0883279000408947,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
15,35,13,3,2,23,1,190.46304069971666,,190.44790629995987,190.46304069971666,191.46164969960228,191.46164969960228,191.47744399961084,192.07882779976353,l,0.6131337000988424,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
11,30,7,3,3,24,0,192.09467280004174,,192.07991209998727,192.09467280004174,193.09308549994603,193.09308549994603,193.109569999855,193.87730049993843,l,0.7789704999886453,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
78,80,162,3,4,25,6,193.89264949969947,,193.8784854998812,193.89264949969947,194.8910432998091,194.8910432998091,194.90663230000064,195.559676699806,t,0.6528257001191378,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
40,55,62,3,5,26,3,195.57528560003266,,195.5607590000145,195.57528560003266,196.57249779999256,196.57249779999256,196.5901044998318,197.35845289984718,t,0.7759839999489486,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
27,50,21,3,6,27,2,197.37305059982464,,197.35953059978783,197.37305059982464,198.37060999963433,198.37060999963433,198.37060999963433,199.2228191997856,l,0.8418629001826048,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
67,75,119,4,0,28,5,199.2373414998874,,199.22387159988284,199.2373414998874,200.23561579966918,200.23561579966918,200.23561579966918,201.00378330005333,t,0.7526350002735853,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
49,60,89,4,1,29,4,201.020266499836,,201.0049030999653,201.020266499836,202.01853889971972,202.01853889971972,202.03459229972214,202.836930999998,t,0.8153762998990715,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
78,80,162,4,2,30,6,202.85096929967403,,202.83802759973332,202.85096929967403,203.84823659993708,203.84823659993708,203.8638450000435,204.7637380999513,t,0.9074606001377106,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
27,50,21,4,3,31,2,204.77996939979494,,204.7641705996357,204.77996939979494,205.76381929963827,205.76381929963827,205.7817388996482,207.59827409964055,l,1.8268371000885963,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
15,35,13,4,4,32,1,207.61328639974818,,207.59936290001497,207.61328639974818,208.61218549963087,208.61218549963087,208.62796099996194,211.36097220005468,l,2.74089129967615,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
40,55,62,4,5,33,3,211.3765199999325,,211.36211289977655,211.3765199999325,212.37567289965227,212.37567289965227,212.39145229989663,212.95973909972236,t,0.5779156000353396,None,03,001,2024-11-12_10h25.33.677,DelayDiscountingTask,2024.1.5,None,2024-11-12 10h26.36.780744 +0530,
