trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.05419679987244308,,0.0193081998731941,5,0.05419679987244308,0.05419679987244308,0.04390750010497868,1.2700912998989224,[-0.1423611111111111],[0.1412037037037037],[1],[0],[0],[1.2240180000662804],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
1,0,1,0,1.299534299876541,,1.2757789997849613,5,1.299534299876541,1.299534299876541,0.017486500088125467,2.5282629998400807,[-0.38773148148148145],[0.2673611111111111],[1],[0],[0],[1.2358651000540704],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
2,0,2,0,2.587729699909687,,2.5327182998880744,10,2.587729699909687,2.587729699909687,0.04330819984897971,3.8782537998631597,[0.15162037037037038],[0.30324074074074076],[1],[0],[0],[1.3026743000373244],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
3,0,3,0,3.914774199947715,,3.8831230998039246,5,3.914774199947715,3.914774199947715,0.021486899815499783,5.258256899891421,[0.39699074074074076],[0.4085648148148148],[1],[0],[0],[1.354354599956423],[],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
4,0,4,0,5.295016399817541,,5.260594999883324,10,5.295016399817541,5.295016399817541,0.025499599985778332,6.990440799854696,[-0.33449074074074076],[-0.2569444444444444],[1],[0],[0],[1.7044518999755383],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
5,0,5,0,7.052472699899226,,6.994924099883065,10,7.052472699899226,7.052472699899226,0.04939469997771084,8.455274099949747,[-0.16203703703703703],[-0.03935185185185185],[1],[0],[0],[1.411591999931261],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
6,0,6,0,8.490300599951297,,8.45776109979488,10,8.490300599951297,8.490300599951297,0.022448200033977628,10.670585699845105,[-0.11458333333333333],[-0.3125],[1],[0],[0],[2.1901287001091987],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
7,0,7,0,10.732366799842566,,10.674745499854907,10,10.732366799842566,10.732366799842566,0.04246239992789924,12.418759499909356,[-0.19675925925925927],[-0.36342592592592593],[1],[0],[0],[1.7019136000890285],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
8,0,8,0,12.454040799988434,,12.422840399900451,5,12.454040799988434,12.454040799988434,0.022517099976539612,13.819172499934211,[0.16550925925925927],[0.3958333333333333],[1],[0],[0],[1.3738386000040919],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
9,0,9,0,13.870586599921808,,13.8258098999504,5,13.870586599921808,13.870586599921808,0.032450499944388866,14.68420199980028,[0.17476851851851852],[0.3958333333333333],[1],[0],[0],[0.8267447000835091],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
10,0,10,0,14.776910499902442,,14.6916108999867,10,14.776910499902442,14.776910499902442,0.06500840000808239,15.782312799943611,[0.19791666666666666],[0.4386574074074074],[1],[0],[0],[1.0267372999805957],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
11,0,11,0,15.837512999773026,,15.786362999817356,10,15.837512999773026,15.837512999773026,0.039467599941417575,17.33143539982848,[0.3576388888888889],[0.4097222222222222],[1],[0],[0],[1.5060036999639124],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
12,0,12,0,17.401844899868593,,17.336174899945036,10,17.401844899868593,17.401844899868593,0.04809399996884167,18.898772899992764,[0.1111111111111111],[0.4375],[1],[0],[0],[1.5148083998356014],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
13,0,13,0,18.93005429999903,,18.902968999929726,5,18.93005429999903,18.93005429999903,0.02089069993235171,20.89870089991018,[0.16435185185185186],[-0.06597222222222222],[1],[0],[0],[1.9748557999264449],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
14,0,14,0,20.947204199852422,,20.905656999908388,5,20.947204199852422,20.947204199852422,0.03119049989618361,22.57728059985675,[0.02199074074074074],[0.44907407407407407],[1],[0],[0],[1.641356100095436],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
15,0,15,0,22.654123099986464,,22.58375519979745,10,22.654123099986464,22.654123099986464,0.057272400008514524,24.091335099888965,[-0.2777777777777778],[0.2361111111111111],[1],[0],[0],[1.4512271999847144],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
16,0,16,0,24.122039599809796,,24.095597099978477,5,24.122039599809796,24.122039599809796,0.01898659998551011,25.64246999984607,[-0.42592592592592593],[-0.20601851851851852],[1],[0],[0],[1.528439300134778],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
17,0,17,0,25.664974099956453,,25.645456099882722,5,25.664974099956453,25.664974099956453,0.013593999901786447,27.02138749998994,[-0.15856481481481483],[0.42476851851851855],[1],[0],[0],[1.3626061000395566],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
18,0,18,0,27.070982499979436,,27.0247139998246,10,27.070982499979436,27.070982499979436,0.03414839995093644,28.874119199812412,[-0.1875],[-0.17824074074074073],[1],[0],[0],[1.815487900050357],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
19,0,19,0,28.922429899917915,,28.87865739990957,5,28.922429899917915,28.922429899917915,0.029772999929264188,30.237038399791345,[-0.13078703703703703],[0.1099537037037037],[1],[0],[0],[1.3288437000010163],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
20,0,20,0,30.28915279987268,,30.243609099881724,5,30.28915279987268,30.28915279987268,0.0324840999674052,31.685268599772826,[0.34837962962962965],[0.3298611111111111],[1],[0],[0],[1.409849900053814],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
21,0,21,0,31.7376017998904,,31.691654899856076,5,31.7376017998904,31.7376017998904,0.03279619989916682,33.184154299786314,[0.041666666666666664],[0.43287037037037035],[1],[0],[0],[1.4607549000065774],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
22,0,22,0,33.24818569980562,,33.18744419980794,10,33.24818569980562,33.24818569980562,0.04673280008137226,35.53114039986394,[-0.3402777777777778],[-0.4236111111111111],[1],[0],[0],[2.2973485998809338],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
23,0,23,0,35.552403799956664,,35.5335414998699,5,35.552403799956664,35.552403799956664,0.01125010009855032,37.1951527998317,[0.11574074074074074],[-0.36226851851851855],[1],[0],[0],[1.6505456001032144],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
24,0,24,0,37.23783629992977,,37.19750579982065,10,37.23783629992977,37.23783629992977,0.029505900107324123,38.71015059994534,[0.2881944444444444],[-0.10069444444444445],[1],[0],[0],[1.4833113001659513],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
25,0,25,0,38.73180899978615,,38.71260259998962,5,38.73180899978615,38.73180899978615,0.010921600041911006,40.5275995999109,[0.1909722222222222],[0.3680555555555556],[1],[0],[0],[1.8037565001286566],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
26,0,26,0,40.57115919981152,,40.534409599844366,5,40.57115919981152,40.57115919981152,0.02807830017991364,41.958580899983644,[-0.12152777777777778],[0.21296296296296297],[1],[0],[0],[1.3970872000791132],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
27,0,27,0,42.02684349985793,,41.96306849992834,10,42.02684349985793,42.02684349985793,0.0451384000480175,43.59593339986168,[-0.4236111111111111],[0.2777777777777778],[1],[0],[0],[1.5881063998676836],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
28,0,28,0,43.65104869985953,,43.60129259992391,10,43.65104869985953,43.65104869985953,0.04073270014487207,46.20378229999915,[0.48842592592592593],[-0.3148148148148148],[1],[0],[0],[2.562273999908939],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
29,0,29,0,46.262339499779046,,46.20795899978839,10,46.262339499779046,46.262339499779046,0.03852470009587705,48.48459079978056,[0.41898148148148145],[-0.12384259259259259],[1],[0],[0],[2.238686400000006],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
30,0,30,0,48.52547029987909,,48.48764759977348,10,48.52547029987909,48.52547029987909,0.02626170008443296,50.383955099852756,[0.3101851851851852],[-0.4699074074074074],[1],[0],[0],[1.8699833999853581],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
31,0,31,0,50.446446999907494,,50.3891514998395,10,50.446446999907494,50.446446999907494,0.04074890003539622,52.549947099993005,[-0.47685185185185186],[-0.06018518518518518],[1],[0],[0],[2.120682700071484],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
32,0,32,0,52.58281549997628,,52.55383149976842,5,52.58281549997628,52.58281549997628,0.020066700177267194,53.96362979989499,[-0.023148148148148147],[-0.17708333333333334],[1],[0],[0],[1.3901160000823438],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
33,0,33,0,53.99095129990019,,53.9659481998533,5,53.99095129990019,53.99095129990019,0.013585899956524372,56.229819499887526,[-0.06597222222222222],[0.125],[1],[0],[0],[2.2498538999352604],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
34,0,34,0,56.32641389989294,,56.23682749993168,10,56.32641389989294,56.32641389989294,0.06970280013047159,57.89292119978927,[-0.2037037037037037],[0.3194444444444444],[1],[0],[0],[1.5875573998782784],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
35,0,35,0,57.952249999856576,,57.89730599988252,10,57.952249999856576,57.952249999856576,0.03879139991477132,60.02472709980793,[-0.02662037037037037],[-0.28935185185185186],[1],[0],[0],[2.0888093998655677],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
36,0,36,0,60.058215899858624,,60.0289979998488,5,60.058215899858624,60.058215899858624,0.021290500182658434,61.456787599949166,[-0.052083333333333336],[0.1840277777777778],[1],[0],[0],[1.4069755000527948],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
37,0,37,0,61.5314672999084,,61.46150219999254,10,61.5314672999084,61.5314672999084,0.051841999869793653,63.02115589985624,[0.17939814814814814],[0.44328703703703703],[1],[0],[0],[1.5085879999678582],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
38,0,38,0,63.04619609983638,,63.02438379987143,5,63.04619609983638,63.04619609983638,0.015710200183093548,64.37109559983946,[-0.2199074074074074],[-0.034722222222222224],[1],[0],[0],[1.3309695001225919],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
39,0,39,0,64.41653569997288,,64.37769679981284,5,64.41653569997288,64.41653569997288,0.03000709996558726,65.73606069991365,[-0.10300925925925926],[0.25810185185185186],[1],[0],[0],[1.3290691000875086],['target'],351306,001,2024-10-04_11h12.36.665,VisualSearch,2024.1.5,None,2024-10-04 11h12.41.560999 +0530,
