trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.08823159988969564,,0.015649500070139766,10,0.08823159988969564,0.08823159988969564,0.06761190015822649,2.5216747999656945,[-0.10185185185185185],[-0.020370370370370372],[1],[0],[0],[2.4533080998808146],['target'],01,001,2024-10-04_11h28.19.708,VisualSearch,2024.1.5,None,2024-10-04 11h28.39.760062 +0530,
1,0,1,0,2.5607803999446332,,2.5266007999889553,10,2.5607803999446332,2.5607803999446332,0.026119800051674247,4.644937299890444,[-0.3814814814814815],[-0.3212962962962963],[1],[0],[0],[2.092065100092441],['target'],01,001,2024-10-04_11h28.19.708,VisualSearch,2024.1.5,None,2024-10-04 11h28.39.760062 +0530,
2,0,2,0,4.732714100042358,,4.6523682998958975,10,4.732714100042358,4.732714100042358,0.05932699982076883,7.628184600034729,[0.34074074074074073],[0.1111111111111111],[1],[0],[0],[2.917685499880463],['target'],01,001,2024-10-04_11h28.19.708,VisualSearch,2024.1.5,None,2024-10-04 11h28.39.760062 +0530,
3,0,3,0,7.659468000056222,,7.632369600003585,5,7.659468000056222,7.659468000056222,0.019013799959793687,10.112596800085157,[-0.2518518518518518],[-0.4074074074074074],[1],[0],[0],[2.4613807001151145],['target'],01,001,2024-10-04_11h28.19.708,VisualSearch,2024.1.5,None,2024-10-04 11h28.39.760062 +0530,
4,0,4,0,10.165951200062409,,10.119180399924517,5,10.165951200062409,10.165951200062409,0.032265499932691455,12.344649399863556,[-0.25833333333333336],[0.23796296296296296],[1],[0],[0],[2.193746600067243],['target'],01,001,2024-10-04_11h28.19.708,VisualSearch,2024.1.5,None,2024-10-04 11h28.39.760062 +0530,
5,0,5,0,12.398717999923974,,12.351212600013241,5,12.398717999923974,12.398717999923974,0.03717819997109473,13.959153200034052,[-0.4675925925925926],[-0.30462962962962964],[1],[0],[0],[1.5714110000990331],['target'],01,001,2024-10-04_11h28.19.708,VisualSearch,2024.1.5,None,2024-10-04 11h28.39.760062 +0530,
6,0,6,0,14.045227899914607,,13.965497799916193,10,14.045227899914607,14.045227899914607,0.05841970001347363,16.688531399937347,[0.09444444444444444],[-0.12129629629629629],[1],[0],[0],[2.665743000106886],['target'],01,001,2024-10-04_11h28.19.708,VisualSearch,2024.1.5,None,2024-10-04 11h28.39.760062 +0530,
7,0,7,0,16.70720830000937,,16.69077660003677,5,16.70720830000937,16.70720830000937,0.01064100000075996,19.22101249988191,[-0.17407407407407408],[-0.3416666666666667],[1],[0],[0],[2.5193276000209153],['target'],01,001,2024-10-04_11h28.19.708,VisualSearch,2024.1.5,None,2024-10-04 11h28.39.760062 +0530,
8,0,8,0,19.31386339990422,,19.228582199895754,10,19.31386339990422,19.31386339990422,0.06286579999141395,21.529304099967703,[0.23981481481481481],[0.17222222222222222],[1],[0],[0],[2.2386248998809606],['target'],01,001,2024-10-04_11h28.19.708,VisualSearch,2024.1.5,None,2024-10-04 11h28.39.760062 +0530,
9,0,9,0,21.578569500008598,,21.536391699919477,5,21.578569500008598,21.578569500008598,0.029453800059854984,24.26593769993633,[0.4935185185185185],[-0.12314814814814815],[1],[0],[0],[2.7008450999855995],['target'],01,001,2024-10-04_11h28.19.708,VisualSearch,2024.1.5,None,2024-10-04 11h28.39.760062 +0530,
10,0,10,0,24.35104149999097,,24.273093600058928,10,24.35104149999097,24.35104149999097,0.0668005000334233,26.862768599996343,[0.25925925925925924],[0.12222222222222222],[1],[0],[0],[2.5241070999763906],['target'],01,001,2024-10-04_11h28.19.708,VisualSearch,2024.1.5,None,2024-10-04 11h28.39.760062 +0530,
11,0,11,0,26.89265919988975,,26.866552100051194,5,26.89265919988975,26.89265919988975,0.01837929990142584,29.560839700046927,[0.42314814814814816],[-0.09074074074074075],[1],[0],[0],[2.6761022999417037],['target'],01,001,2024-10-04_11h28.19.708,VisualSearch,2024.1.5,None,2024-10-04 11h28.39.760062 +0530,
12,0,12,0,29.631694899871945,,29.56677579996176,10,29.631694899871945,29.631694899871945,0.05312879988923669,32.35835159989074,[0.12314814814814815],[0.46296296296296297],[1],[0],[0],[2.739136200165376],['target'],01,001,2024-10-04_11h28.19.708,VisualSearch,2024.1.5,None,2024-10-04 11h28.39.760062 +0530,
13,0,13,0,32.42560589988716,,32.364750399952754,10,32.42560589988716,32.42560589988716,0.048570899991318583,35.51188010000624,[-0.37037037037037035],[-0.1],[1],[0],[0],[3.099035599967465],['target'],01,001,2024-10-04_11h28.19.708,VisualSearch,2024.1.5,None,2024-10-04 11h28.39.760062 +0530,
