trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.10707999998703599,,0.010875699983444065,10,0.10707999998703599,0.10707999998703599,0.07708919997094199,2.224426900036633,[-0.09074074074074075],[0.1287037037037037],[1],[0],[0],[2.146697900025174],['target'],02,001,2024-10-10_18h33.20.582,VisualSearch,2024.1.5,None,2024-10-10 18h34.08.104328 +0530,
1,0,1,0,2.2587840000051074,,2.2332366000046022,5,2.2587840000051074,2.2587840000051074,0.018030799983534962,3.789946799981408,[-0.044444444444444446],[-0.2490740740740741],[1],[0],[0],[1.5391457000514492],['target'],02,001,2024-10-10_18h33.20.582,VisualSearch,2024.1.5,None,2024-10-10 18h34.08.104328 +0530,
2,0,2,0,3.8890213000122458,,3.7967805999796838,10,3.8890213000122458,3.8890213000122458,0.06731789995683357,5.4097076000180095,[0.42685185185185187],[0.010185185185185186],[1],[0],[0],[1.5464142000419088],[],02,001,2024-10-10_18h33.20.582,VisualSearch,2024.1.5,None,2024-10-10 18h34.08.104328 +0530,
3,0,3,0,5.500360900012311,,5.415763900033198,10,5.500360900012311,5.500360900012311,0.06365219998406246,7.487208599981386,[-0.03611111111111111],[0.4546296296296296],[1],[0],[0],[2.008661999949254],['target'],02,001,2024-10-10_18h33.20.582,VisualSearch,2024.1.5,None,2024-10-10 18h34.08.104328 +0530,
4,0,4,0,7.534136600035708,,7.493327500007581,5,7.534136600035708,7.534136600035708,0.02628669998375699,9.152932800003327,[0.15555555555555556],[0.30648148148148147],[1],[0],[0],[1.6338416000362486],['target'],02,001,2024-10-10_18h33.20.582,VisualSearch,2024.1.5,None,2024-10-10 18h34.08.104328 +0530,
5,0,5,0,9.209326200012583,,9.159721000003628,5,9.209326200012583,9.209326200012583,0.0338311999803409,10.566975800029468,[-0.22962962962962963],[-0.06111111111111111],[1],[0],[0],[1.374171200033743],['target'],02,001,2024-10-10_18h33.20.582,VisualSearch,2024.1.5,None,2024-10-10 18h34.08.104328 +0530,
6,0,6,0,10.624693299992941,,10.575224800035357,5,10.624693299992941,10.624693299992941,0.034356400021351874,12.282208600023296,[-0.30833333333333335],[0.32685185185185184],[1],[0],[0],[1.6733887000009418],['target'],02,001,2024-10-10_18h33.20.582,VisualSearch,2024.1.5,None,2024-10-10 18h34.08.104328 +0530,
7,0,7,0,12.33723290002672,,12.289388100034557,5,12.33723290002672,12.33723290002672,0.03401750000193715,14.496222199988551,[0.3972222222222222],[-0.43796296296296294],[1],[0],[0],[2.1737725000130013],['target'],02,001,2024-10-10_18h33.20.582,VisualSearch,2024.1.5,None,2024-10-10 18h34.08.104328 +0530,
8,0,8,0,14.556308200000785,,14.504689200024586,5,14.556308200000785,14.556308200000785,0.034067399974446744,17.07701489998726,[-0.2675925925925926],[-0.4601851851851852],[1],[0],[0],[2.539055000001099],['target'],02,001,2024-10-10_18h33.20.582,VisualSearch,2024.1.5,None,2024-10-10 18h34.08.104328 +0530,
9,0,9,0,17.13800269999774,,17.08506800001487,5,17.13800269999774,17.13800269999774,0.035541400022339076,19.02438080002321,[-0.3138888888888889],[0.487962962962963],[1],[0],[0],[1.9049900000100024],['target'],02,001,2024-10-10_18h33.20.582,VisualSearch,2024.1.5,None,2024-10-10 18h34.08.104328 +0530,
