trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,0,10,0,16.19660699996166,,16.143726899987087,10,16.19660699996166,16.19660699996166,0.038462999975308776,18.45369120000396,[0.42407407407407405],[0.46944444444444444],[1],[0],[0],[2.271959199977573],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
11,0,11,0,18.50849440001184,,18.45776149997255,10,18.50849440001184,18.50849440001184,0.04215720004867762,20.285603799973615,[0.09074074074074075],[-0.2851851851851852],[1],[0],[0],[1.7860764999641106],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
12,0,12,0,20.313639500003774,,20.291523799998686,5,20.313639500003774,20.313639500003774,0.017086500010918826,21.585264900000766,[0.12685185185185185],[0.3712962962962963],[1],[0],[0],[1.276910999964457],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
13,0,13,0,21.654869899968617,,21.59151810000185,10,21.654869899968617,21.654869899968617,0.0485257999971509,22.866458199976478,[0.27870370370370373],[0.03333333333333333],[1],[0],[0],[1.22733760002302],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
14,0,14,0,22.942045199975837,,22.870561100018676,10,22.942045199975837,22.942045199975837,0.0532845999696292,24.74834859999828,[-0.24259259259259258],[0.40185185185185185],[1],[0],[0],[1.8248950999695808],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
15,0,15,0,24.78297719999682,,24.75236220000079,5,24.78297719999682,24.78297719999682,0.019227799959480762,26.24723380000796,[0.32592592592592595],[0.5],[1],[0],[0],[1.475857499986887],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
16,0,16,0,26.29845210001804,,26.253356700006407,5,26.29845210001804,26.29845210001804,0.0321373000042513,28.279215699993074,[0.2111111111111111],[0.5],[1],[0],[0],[1.9940124999848194],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
17,0,17,0,28.330777299997862,,28.285721299995203,5,28.330777299997862,28.330777299997862,0.03306039999006316,29.37805010000011,[0.2462962962962963],[0.5],[1],[0],[0],[1.0597117000143044],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
18,0,18,0,29.424654499976896,,29.38416730001336,5,29.424654499976896,29.424654499976896,0.03071229998022318,31.592777999991085,[0.2814814814814815],[-0.21203703703703702],[1],[0],[0],[2.178449200000614],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
19,0,19,0,31.650616400002036,,31.59975489997305,5,31.650616400002036,31.650616400002036,0.03568000002996996,32.941467500000726,[0.39166666666666666],[0.11481481481481481],[1],[0],[0],[1.3065771000110544],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
20,0,20,0,32.99162509996677,,32.94768169999588,5,32.99162509996677,32.99162509996677,0.03063829999882728,34.62363300001016,[0.12037037037037036],[0.487962962962963],[1],[0],[0],[1.6458943999605253],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
21,0,21,0,34.67672709998442,,34.62972969998373,5,34.67672709998442,34.67672709998442,0.030447299999650568,35.788393099966925,[-0.03333333333333333],[0.3],[1],[0],[0],[1.1288513999897987],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
22,0,22,0,35.86163870000746,,35.79460540000582,10,35.86163870000746,35.86163870000746,0.05289880000054836,37.157383500016294,[0.31574074074074077],[0.39166666666666666],[1],[0],[0],[1.3103334999759682],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
23,0,23,0,37.18215379997855,,37.16024559998186,5,37.18215379997855,37.18215379997855,0.013648899970576167,39.03552370000398,[-0.4064814814814815],[-0.20833333333333334],[1],[0],[0],[1.8613869000109844],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
24,0,24,0,39.09334540000418,,39.04168680001749,5,39.09334540000418,39.09334540000418,0.03728450002381578,40.667363599990495,[-0.15185185185185185],[-0.19166666666666668],[1],[0],[0],[1.5888489999924786],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
25,0,25,0,40.76068770000711,,40.67357330000959,10,40.76068770000711,40.76068770000711,0.06269739998970181,42.48208709998289,[0.06296296296296296],[-0.30648148148148147],[1],[0],[0],[1.7465516999945976],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
26,0,26,0,42.53977789997589,,42.48588860000018,10,42.53977789997589,42.53977789997589,0.03816469997400418,43.898125000006985,[-0.026851851851851852],[0.4111111111111111],[1],[0],[0],[1.3744631000445224],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
27,0,27,0,43.952267799992114,,43.90263149997918,10,43.952267799992114,43.952267799992114,0.03914590005297214,45.631747099978384,[0.31666666666666665],[0.17777777777777778],[1],[0],[0],[1.690101899963338],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
28,0,28,0,45.66977869998664,,45.63787829998182,5,45.66977869998664,45.66977869998664,0.022855699993669987,47.528249499970116,[0.4361111111111111],[-0.25462962962962965],[1],[0],[0],[1.8679202999919653],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
29,0,29,0,47.61228729999857,,47.53470000001835,10,47.61228729999857,47.61228729999857,0.06245149997994304,49.409245099988766,[0.08611111111111111],[-0.37962962962962965],[1],[0],[0],[1.8131261999951676],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
30,0,30,0,49.494563499989454,,49.41328789998079,10,49.494563499989454,49.494563499989454,0.057529999990947545,51.1936418999685,[-0.24722222222222223],[-0.3074074074074074],[1],[0],[0],[1.7231868000235409],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
31,0,31,0,51.23773799999617,,51.19935929996427,5,51.23773799999617,51.23773799999617,0.030019800004083663,52.78980019997107,[-0.29907407407407405],[-0.03518518518518519],[1],[0],[0],[1.5606727000558749],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
32,0,32,0,52.8652141999919,,52.796244099969044,10,52.8652141999919,52.8652141999919,0.05750659998739138,54.42038159997901,[0.025],[-0.09351851851851851],[1],[0],[0],[1.567626200034283],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
33,0,33,0,54.490779599989764,,54.42469519999577,10,54.490779599989764,54.490779599989764,0.050369200005661696,56.15230640000664,[0.46944444444444444],[0.1935185185185185],[1],[0],[0],[1.6775598000385799],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
34,0,34,0,56.1840120999841,,56.15615870000329,5,56.1840120999841,56.1840120999841,0.019362399994861335,57.51890889997594,[0.3972222222222222],[-0.1425925925925926],[1],[0],[0],[1.34332159999758],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
35,0,35,0,57.5661866000155,,57.525314099970274,5,57.5661866000155,57.5661866000155,0.031770600005984306,60.048861899995245,[-0.4287037037037037],[0.49722222222222223],[1],[0],[0],[2.4925769999972545],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
36,0,36,0,60.09894549997989,,60.05485509999562,5,60.09894549997989,60.09894549997989,0.032096599985379726,61.9147845999687,[0.29074074074074074],[-0.22870370370370371],[1],[0],[0],[1.8282619999954477],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
37,0,37,0,61.99281719996361,,61.92099159996724,10,61.99281719996361,61.99281719996361,0.05523679999168962,63.37920219998341,[-0.3592592592592593],[-0.14166666666666666],[1],[0],[0],[1.403693599975668],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
38,0,38,0,63.4239346999675,,63.38303019996965,10,63.4239346999675,63.4239346999675,0.03196579997893423,65.5430825999938,[0.2935185185185185],[-0.30092592592592593],[1],[0],[0],[2.1285098000080325],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
39,0,39,0,65.60400639998261,,65.54694759997074,10,65.60400639998261,65.60400639998261,0.03488560003461316,67.45890879997751,[0.10833333333333334],[0.21481481481481482],[1],[0],[0],[1.8771532999817282],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
40,0,40,0,67.49421550001716,,67.46285289997468,5,67.49421550001716,67.49421550001716,0.01914799999212846,69.29010360001121,[-0.29074074074074074],[-0.2833333333333333],[1],[0],[0],[1.8083661000127904],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
41,0,41,0,69.38425289996667,,69.297189600009,10,69.38425289996667,69.38425289996667,0.06204839999554679,71.83358699997189,[-0.17037037037037037],[0.4842592592592593],[1],[0],[0],[2.475103900011163],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
42,0,42,0,71.87816600000951,,71.83995270001469,5,71.87816600000951,71.87816600000951,0.02856549998978153,73.38685519999126,[0.24351851851851852],[0.2796296296296296],[1],[0],[0],[1.5187791000353172],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
43,0,43,0,73.45996070001274,,73.39302109996788,10,73.45996070001274,73.45996070001274,0.0516537000075914,75.80054769996786,[-0.16944444444444445],[-0.45555555555555555],[1],[0],[0],[2.3568316000164486],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
44,0,44,0,75.86919409997063,,75.8045614999719,10,75.86919409997063,75.86919409997063,0.04334400000516325,77.68952600000193,[-0.10833333333333334],[0.38796296296296295],[1],[0],[0],[1.8414855999872088],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
45,0,45,0,77.75785779999569,,77.69556379999267,10,77.75785779999569,77.75785779999569,0.04731360002188012,80.18681649997598,[0.3148148148148148],[-0.4685185185185185],[1],[0],[0],[2.4444487000000663],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
46,0,46,0,80.2462274999707,,80.19036439998308,10,80.2462274999707,80.2462274999707,0.03387690003728494,82.2108815999818,[-0.12314814814814815],[-0.3490740740740741],[1],[0],[0],[1.9866715000243858],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
47,0,47,0,82.2799384999671,,82.21675129997311,10,82.2799384999671,82.2799384999671,0.049198699998669326,84.3618046999909,[0.4685185185185185],[0.4203703703703704],[1],[0],[0],[2.0966525999829173],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
48,0,48,0,84.38836769998306,,84.36575850000372,5,84.38836769998306,84.38836769998306,0.016772500006482005,86.87462309998227,[-0.24259259259259258],[-0.462037037037037],[1],[0],[0],[2.492174300015904],['target'],03,001,2024-10-10_21h38.24.478,VisualSearch,2024.1.5,None,2024-10-10 21h38.35.899121 +0530,
