neg_words,math,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Intro.started,Introduction.started,key_resp.started,Intro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Words.started,key_resp_2.started,text.started,Words.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.stopped,DisTask.started,task.started,textbox.started,InstText.started,mouse.started,DisTask.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Recall.started,RecallTask.started,key_resp_3.started,Recall.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Testing.started,TestAns.started,Instr.started,mouse_2.started,Testing.stopped,TestAns.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0,0,0,0,,,,,,,,,,,,,0.006208700004208367,,0.0029834000015398487,0.006208700004208367,1.006684400002996,2.065845700002683,space,1.0479751999955624,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h25.48.078,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h25.59.414103 +0530,
demon,,,,,,0,0,0,20,,,,,,,,,2.112798100002692,,,,,,,,,2.0953130000052624,2.112798100002692,3.5708713000058196,4.5553062000035425,right,2.43516400000226,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h25.48.078,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h25.59.414103 +0530,
rage,,,,,,0,1,1,9,,,,,,,,,4.569914300001983,,,,,,,,,4.556594900001073,4.569914300001983,6.0688533000065945,7.2859615000052145,right,2.705389800001285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h25.48.078,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h25.59.414103 +0530,
rotten,,,,,,0,2,2,8,,,,,,,,,7.300486500003899,,,,,,,,,7.286758500005817,7.300486500003899,8.799426200006565,9.650246100005461,right,2.333493500002078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h25.48.078,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h25.59.414103 +0530,
toxic,,,,,,0,3,3,13,,,,,,,,,9.665646200002811,,,,,,,,,9.651200700005575,9.665646200002811,11.163625700006378,11.9483515000029,right,2.27136469999823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h25.48.078,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h25.59.414103 +0530,
vomit,,,,,,0,4,4,12,,,,,,,,,11.963024000004225,,,,,,,,,11.949326800000563,11.963024000004225,13.461750300004496,15.112371900002472,left,3.135529899998801,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h25.48.078,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h25.59.414103 +0530,
ugly,,,,,,0,5,5,0,,,,,,,,,15.12650130000111,,,,,,,,,15.11316930000612,15.12650130000111,16.625219900000957,18.15975040000194,right,3.0168703999952413,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h25.48.078,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h25.59.414103 +0530,
lost,,,,,,0,6,6,4,,,,,,,,,18.17359420000139,,,,,,,,,18.16066200000205,18.17359420000139,19.67224470000656,21.072867500006396,left,2.894419799995376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h25.48.078,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h25.59.414103 +0530,
corpse,,,,,,0,7,7,17,,,,,,,,,21.08778760000132,,,,,,,,,21.07380180000473,21.08778760000132,22.586648300006345,23.63748220000707,right,2.536623800006055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h25.48.078,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h25.59.414103 +0530,
crime,,,,,,0,8,8,11,,,,,,,,,23.65218620000087,,,,,,,,,23.638403600001766,23.65218620000087,25.150766200000362,27.73357410000608,right,4.065472999995109,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03,001,2024-12-03_14h25.48.078,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-03 14h25.59.414103 +0530,
