neg_words,math,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Intro.started,Introduction.started,key_resp.started,Intro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Words.started,key_resp_2.started,text.started,Words.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.stopped,DisTask.started,task.started,textbox.started,InstText.started,mouse.started,DisTask.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Recall.started,RecallTask.started,key_resp_3.started,Recall.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Testing.started,TestAns.started,Instr.started,mouse_2.started,Testing.stopped,TestAns.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0,0,0,0,,,,,,,,,,,,,0.007526799978222698,,0.004157499992288649,0.007526799978222698,1.0054673999838997,4.448412900004769,space,3.415987899992615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h19.19.662,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h19.30.471293 +0530,
crisis,,,,,,0,0,0,3,,,,,,,,,4.479691799991997,,,,,,,,,4.462307899986627,4.479691799991997,5.9508201999997254,8.650748799991561,left,4.162634099979186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h19.19.662,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h19.30.471293 +0530,
knife,,,,,,0,1,1,2,,,,,,,,,8.665394999989076,,,,,,,,,8.652333699981682,8.665394999989076,10.16323750000447,10.748714399989694,right,2.0806411000085063,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h19.19.662,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h19.30.471293 +0530,
burial,,,,,,0,2,2,23,,,,,,,,,10.762456900003599,,,,,,,,,10.749648299999535,10.762456900003599,12.261326699983329,15.293738599983044,left,4.514375900005689,None,15.275587299984181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h19.19.662,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h19.30.471293 +0530,
rotten,,,,,,0,3,3,8,,,,,,,,,15.308348199992906,,,,,,,,,15.294699099991703,15.308348199992906,16.80688600000576,17.958249599992996,left,2.6432895999751054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h19.19.662,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h19.30.471293 +0530,
angry,,,,,,0,4,4,10,,,,,,,,,17.972953899996355,,,,,,,,,17.95900800000527,17.972953899996355,19.471667799982242,20.25579289998859,left,2.2788600999920163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h19.19.662,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h19.30.471293 +0530,
rape,,,,,,0,5,5,15,,,,,,,,,20.270698299980722,,,,,,,,,20.256579099979717,20.270698299980722,21.769387299980735,22.587145400000736,left,2.3062835999880917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h19.19.662,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h19.30.471293 +0530,
thief,,,,,,0,6,6,19,,,,,,,,,22.601588199991966,,,,,,,,,22.588053299987223,22.601588199991966,24.100319799996214,24.568785199982813,left,1.9556129999982659,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h19.19.662,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h19.30.471293 +0530,
loser,,,,,,0,7,7,5,,,,,,,,,24.583259299979545,,,,,,,,,24.569688699994003,24.583259299979545,26.081903299986152,26.583765299990773,left,1.994609399989713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h19.19.662,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h19.30.471293 +0530,
poison,,,,,,0,8,8,22,,,,,,,,,26.597991499991622,,,,,,,,,26.584617799991975,26.597991499991622,28.09663049998926,28.481891799980076,left,1.8803691000211984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05,001,2024-12-04_11h19.19.662,EmotionalValenceMemoryRecall,2024.1.5,None,2024-12-04 11h19.30.471293 +0530,
