neg_words,math,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,thisRow.t,notes,Intro.started,Introduction.started,key_resp.started,Intro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Words.started,key_resp_2.started,text.started,Words.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,text.stopped,DisTask.started,task.started,textbox.started,InstText.started,mouse.started,DisTask.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Recall.started,RecallTask.started,key_resp_3.started,Recall.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Testing.started,TestAns.started,Instr.started,mouse_2.started,Testing.stopped,TestAns.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0,0,0,0,,,,,,,,,,,,,0.00622300012037158,,0.0029210997745394707,0.00622300012037158,1.004852999933064,5.621720700059086,space,4.591277599800378,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
loser,,,,,,0,0,0,5,,,,,,,,,5.66354600014165,,,,,,,,,5.640889000147581,5.66354600014165,7.132549799978733,8.566688899882138,right,2.8872571997344494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
thief,,,,,,0,1,1,19,,,,,,,,,8.580796199850738,,,,,,,,,8.567983299959451,8.580796199850738,10.079890199936926,11.18057719990611,left,2.592709899879992,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
angry,,,,,,0,2,2,10,,,,,,,,,11.195611100178212,,,,,,,,,11.181845699902624,11.195611100178212,12.694356199819595,13.61372260004282,right,2.409947999753058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
poison,,,,,,0,3,3,22,,,,,,,,,13.628285199869424,,,,,,,,,13.614538100082427,13.628285199869424,15.125164399854839,16.259122000075877,right,2.619175000116229,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
demon,,,,,,0,4,4,20,,,,,,,,,16.273714799899608,,,,,,,,,16.260063500143588,16.273714799899608,17.772395399864763,20.871713100001216,right,4.58304370008409,None,20.78666270012036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
insult,,,,,,0,5,5,18,,,,,,,,,20.88653719983995,,,,,,,,,20.8726333999075,20.88653719983995,22.385156999807805,23.153102799784392,right,2.2496894001960754,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
toxic,,,,,,0,6,6,13,,,,,,,,,23.168927600141615,,,,,,,,,23.15392779977992,23.168927600141615,24.666338299866766,26.517266899812967,right,3.3310989998281,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
fear,,,,,,0,7,7,16,,,,,,,,,26.53131109988317,,,,,,,,,26.518101599998772,26.53131109988317,28.0301904999651,28.963861499913037,right,2.4305749000050128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
burial,,,,,,0,8,8,23,,,,,,,,,28.97883650008589,,,,,,,,,28.964373900089413,28.97883650008589,30.477600499987602,32.561186499893665,right,3.568312699906528,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
alone,,,,,,0,9,9,6,,,,,,,,,32.5757078002207,,,,,,,,,32.56201400002465,32.5757078002207,34.07407640013844,35.67451329994947,right,3.0877187000587583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
knife,,,,,,0,10,10,2,,,,,,,,,35.6892957999371,,,,,,,,,35.67533850017935,35.6892957999371,37.187562299892306,38.23919150000438,left,2.534904200118035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
grief,,,,,,0,11,11,21,,,,,,,,,38.25372759997845,,,,,,,,,38.23997819982469,38.25372759997845,39.7522146999836,40.62075790017843,right,2.357436599675566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
crisis,,,,,,0,12,12,3,,,,,,,,,40.63470119982958,,,,,,,,,40.622172500006855,40.63470119982958,42.133337299805135,43.334333799779415,right,2.6940498002804816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
betray,,,,,,0,13,13,14,,,,,,,,,43.348486999981105,,,,,,,,,43.33522849995643,43.348486999981105,44.84738950012252,46.09830700000748,right,2.7379662999883294,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
rape,,,,,,0,14,14,15,,,,,,,,,46.11312420014292,,,,,,,,,46.09912580018863,46.11312420014292,47.611686599906534,48.27968510007486,right,2.1518192002549767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
lost,,,,,,0,15,15,4,,,,,,,,,48.29381689988077,,,,,,,,,48.28064850019291,48.29381689988077,49.792494600173086,51.02620430011302,right,2.7195988004095852,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
debt,,,,,,0,16,16,24,,,,,,,,,51.041201000101864,,,,,,,,,51.02683900017291,51.041201000101864,52.5403014998883,53.59100090013817,left,2.54127879999578,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
crime,,,,,,0,17,17,11,,,,,,,,,53.60588110005483,,,,,,,,,53.59203859977424,53.60588110005483,55.10461140004918,55.9421421000734,right,2.3331428999081254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
corpse,,,,,,0,18,18,17,,,,,,,,,55.95392660005018,,,,,,,,,55.94339899998158,55.95392660005018,57.45256739994511,60.18601180007681,left,4.229444900061935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
lie,,,,,,0,19,19,7,,,,,,,,,60.199744699988514,,,,,,,,,60.18683819985017,60.199744699988514,61.698464300017804,62.43291069986299,right,2.22498539974913,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
rage,,,,,,0,20,20,9,,,,,,,,,62.447816600091755,,,,,,,,,62.43380009988323,62.447816600091755,63.945956599898636,65.12867650017142,right,2.6641285996884108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
ugly,,,,,,0,21,21,0,,,,,,,,,65.14463829994202,,,,,,,,,65.12911849981174,65.14463829994202,66.64367329981178,67.31054840004072,right,2.153857000172138,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
rotten,,,,,,0,22,22,8,,,,,,,,,67.32582340016961,,,,,,,,,67.31090879999101,67.32582340016961,68.82471589976922,71.19191539986059,right,3.8525733002461493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
vomit,,,,,,0,23,23,12,,,,,,,,,71.20614159991965,,,,,,,,,71.19280610000715,71.20614159991965,72.70496180001646,75.51904270006344,left,4.300908399745822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
evil,,,,,,0,24,24,1,,,,,,,,,75.53497519996017,,,,,,,,,75.51951789995655,75.53497519996017,77.0341304000467,79.83361050020903,right,4.28327009966597,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
,25 + 28 =,,,,,,,,,0,0,0,5,,,,,79.87917040009052,,,,,,,,,,,,,,,,,79.84345889976248,79.87917040009052,79.87917040009052,79.87917040009052,0.026256899815052748,85.56480829976499,53,[-0.05092592592592592],[-0.32037037037037036],[1],[0],[0],[5.703071500174701],['InstText'],,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
,23 - 29 =,,,,,,,,,0,1,1,7,,,,,85.59575269976631,,,,,,,,,,,,,,,,,85.56743580009788,85.59575269976631,85.59575269976631,85.59575269976631,0.011445700190961361,90.60676069976762,-6,[-0.040740740740740744],[-0.30648148148148147],[1],[0],[0],[5.027027999982238],['InstText'],,,,,,,,,,,,,,,,,,,,,01,001,2024-11-29_22h36.17.525,EmotionalValenceMemoryRecall,2024.1.5,None,2024-11-29 22h36.32.474256 +0530,
