study_word,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
pastry,,,,0,0,0,9,,,,,0.03742539999075234,,0.00804680003784597,0.03742539999075234,0.03742539999075234,2.4524182000313886,1.9925925925925927,2.4172351000015624,,,,,,,,,,,,,,,02,001,2024-10-22_18h23.48.278,WordPrimingExperiment,2024.1.5,None,2024-10-22 18h23.58.555732 +0530,
police,,,,0,1,1,12,,,,,2.4802656000247225,,2.4530690000392497,2.4802656000247225,2.4802656000247225,4.431497399986256,2.5407407407407407,1.9501037999871187,,,,,,,,,,,,,,,02,001,2024-10-22_18h23.48.278,WordPrimingExperiment,2024.1.5,None,2024-10-22 18h23.58.555732 +0530,
laptop,,,,0,2,2,5,,,,,4.445487999997567,,4.431705499999225,4.445487999997567,4.445487999997567,6.564857900026254,1.7259259259259259,2.1119901999481954,,,,,,,,,,,,,,,02,001,2024-10-22_18h23.48.278,WordPrimingExperiment,2024.1.5,None,2024-10-22 18h23.58.555732 +0530,
mouse,,,,0,3,3,8,,,,,6.5893921999959275,,6.565424000029452,6.5893921999959275,6.5893921999959275,7.996364300022833,1.7259259259259259,1.4059880999848247,,,,,,,,,,,,,,,02,001,2024-10-22_18h23.48.278,WordPrimingExperiment,2024.1.5,None,2024-10-22 18h23.58.555732 +0530,
T-shirt,,,,0,4,4,7,,,,,8.022127700038254,,7.99673240003176,8.022127700038254,8.022127700038254,10.683441500004847,1.7148148148148148,2.6551273999502882,,,,,,,,,,,,,,,02,001,2024-10-22_18h23.48.278,WordPrimingExperiment,2024.1.5,None,2024-10-22 18h23.58.555732 +0530,
chart,,,,0,5,5,6,,,,,10.720114800031297,,10.684115100011695,10.720114800031297,10.720114800031297,12.259591200039722,1.4777777777777779,1.544052399985958,,,,,,,,,,,,,,,02,001,2024-10-22_18h23.48.278,WordPrimingExperiment,2024.1.5,None,2024-10-22 18h23.58.555732 +0530,
poster,,,,0,6,6,14,,,,,12.284566199989058,,12.260054600017611,12.284566199989058,12.284566199989058,14.884454199986067,1.5037037037037038,2.601975900004618,,,,,,,,,,,,,,,02,001,2024-10-22_18h23.48.278,WordPrimingExperiment,2024.1.5,None,2024-10-22 18h23.58.555732 +0530,
phone,,,,0,7,7,2,,,,,14.900175000017043,,14.884734700026456,14.900175000017043,14.900175000017043,16.73439800000051,1.1185185185185185,1.821270500018727,,,,,,,,,,,,,,,02,001,2024-10-22_18h23.48.278,WordPrimingExperiment,2024.1.5,None,2024-10-22 18h23.58.555732 +0530,
cruise,,,,0,8,8,11,,,,,16.764181300008204,,16.734953899984248,16.764181300008204,16.764181300008204,19.043778599996585,2.774074074074074,2.2807274000369944,,,,,,,,,,,,,,,02,001,2024-10-22_18h23.48.278,WordPrimingExperiment,2024.1.5,None,2024-10-22 18h23.58.555732 +0530,
marble,,,,0,9,9,3,,,,,19.069794700015336,,19.044146900007036,19.069794700015336,19.069794700015336,21.199430499982554,2.7481481481481485,2.1297008999972604,,,,,,,,,,,,,,,02,001,2024-10-22_18h23.48.278,WordPrimingExperiment,2024.1.5,None,2024-10-22 18h23.58.555732 +0530,
