study_word,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
T-shirt,,,,0,0,0,7,,,,,0.037537199910730124,,0.007661000010557473,0.037537199910730124,0.037537199910730124,3.3394513999810442,1.011111111111111,3.3111378999892622,,,,,,,,,,,,,,,01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
pastry,,,,0,1,1,9,,,,,3.360326499911025,,3.341000699903816,3.360326499911025,3.360326499911025,4.522598500014283,1.011111111111111,1.1558892000466585,,,,,,,,,,,,,,,01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
laptop,,,,0,2,2,5,,,,,4.538449199986644,,4.522881199955009,4.538449199986644,4.538449199986644,6.03662369993981,1.011111111111111,1.4924629000015557,,,,,,,,,,,,,,,01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
poster,,,,0,3,3,14,,,,,6.053479399997741,,6.036865899921395,6.053479399997741,6.053479399997741,6.953415399999358,1.011111111111111,0.8922155000036582,,,,,,,,,,,,,,,01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
cruise,,,,0,4,4,11,,,,,6.9696954999817535,,6.953730699955486,6.9696954999817535,6.9696954999817535,7.8012238999363035,1.011111111111111,0.8256282999645919,,,,,,,,,,,,,,,01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
phone,,,,0,5,5,2,,,,,7.821060199989006,,7.801572999916971,7.821060199989006,7.821060199989006,8.667695299955085,1.011111111111111,0.8415826999116689,,,,,,,,,,,,,,,01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
keys,,,,0,6,6,13,,,,,8.681990099954419,,8.667914399993606,8.681990099954419,8.681990099954419,9.051840199972503,1.011111111111111,0.3624005999881774,,,,,,,,,,,,,,,01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
police,,,,0,7,7,12,,,,,9.06737039994914,,9.052104700007476,9.06737039994914,9.06737039994914,9.816874700016342,1.011111111111111,0.7427310000639409,,,,,,,,,,,,,,,01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
chart,,,,0,8,8,6,,,,,9.830873499973677,,9.817110699950717,9.830873499973677,9.830873499973677,10.416666999924928,1.011111111111111,0.5790724999969825,,,,,,,,,,,,,,,01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
book,,,,0,9,9,0,,,,,10.432396299904212,,10.41696179995779,10.432396299904212,10.432396299904212,10.83227979997173,1.011111111111111,0.3947734999237582,,,,,,,,,,,,,,,01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
cushion,,,,0,10,10,1,,,,,10.849119299906306,,10.832499700016342,10.849119299906306,10.849119299906306,12.830531999934465,1.011111111111111,1.9778287999797612,,,,,,,,,,,,,,,01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
board,,,,0,11,11,4,,,,,12.846147899981588,,12.830780699965544,12.846147899981588,12.846147899981588,13.631569299963303,1.011111111111111,0.7777306999778375,,,,,,,,,,,,,,,01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
case,,,,0,12,12,10,,,,,13.64743529993575,,13.63206239999272,13.64743529993575,13.64743529993575,14.362370699993335,1.011111111111111,0.7091136999661103,,,,,,,,,,,,,,,01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
marble,,,,0,13,13,3,,,,,14.375934800016694,,14.362582099973224,14.375934800016694,14.375934800016694,14.87870739994105,1.011111111111111,0.49635450006462634,,,,,,,,,,,,,,,01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
mouse,,,,0,14,14,8,,,,,14.89291279995814,,14.878929300000891,14.89291279995814,14.89291279995814,15.428870599949732,1.011111111111111,0.5284604999469593,,,,,,,,,,,,,,,01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
,_ha_t,chart,old,,,,,0,0,0,1,15.444716800004244,,,,,,,,15.432823200011626,15.444716800004244,15.444716800004244,15.444716800004244,0.007053000037558377,19.904981400002725,chart,"[-0.49722222222222223, 0.001851851851851852]","[-0.29907407407407405, -0.30185185185185187]","[1, 1]","[0, 0]","[0, 0]","[0.2728497999487445, 4.468393199960701]",['text_3'],01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
,c_s_,case,old,,,,,0,1,1,5,19.920662599965,,,,,,,,19.905898400000297,19.920662599965,19.920662599965,19.920662599965,0.0021750000305473804,23.20279849995859,case,[0.002777777777777778],[-0.2935185185185185],[1],[0],[0],[3.29410729999654],['text_3'],01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
,_ho_e,phone,old,,,,,0,2,2,12,23.217901399941184,,,,,,,,23.203408199944533,23.217901399941184,23.217901399941184,23.217901399941184,0.002614900004118681,29.36658599996008,shore,[-0.041666666666666664],[-0.3074074074074074],[1],[0],[0],[6.158501600031741],['text_3'],01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
,_r_is_,cruise,old,,,,,0,3,3,6,29.38465439993888,,,,,,,,29.36829969997052,29.38465439993888,29.38465439993888,29.38465439993888,0.004827399970963597,33.159851099946536,cruise,[-0.041666666666666664],[-0.3074074074074074],[1],[0],[0],[3.7861877999966964],['text_3'],01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
,_o_rd,board,old,,,,,0,4,4,10,33.17533040000126,,,,,,,,33.16049649997149,33.17533040000126,33.17533040000126,33.17533040000126,0.002495500026270747,38.622567099984735,board,[-0.041666666666666664],[-0.3],[1],[0],[0],[5.459061399917118],['text_3'],01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
,c_m_ra,camera,new,,,,,0,5,5,19,38.637203299906105,,,,,,,,38.62319569999818,38.637203299906105,38.637203299906105,38.637203299906105,0.0024967000354081392,42.08512529998552,camera,[-0.020370370370370372],[-0.30185185185185187],[1],[0],[0],[3.458853399963118],['text_3'],01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
,_a_bl_,marble,old,,,,,0,6,6,11,42.10055029997602,,,,,,,,42.08574489993043,42.10055029997602,42.10055029997602,42.10055029997602,0.002284300047904253,47.779836599947885,table,[-0.012037037037037037],[-0.28425925925925927],[1],[0],[0],[5.691173300030641],['text_3'],01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
,p_st_r,poster,old,,,,,0,7,7,9,47.79513559991028,,,,,,,,47.780414999928325,47.79513559991028,47.79513559991028,47.79513559991028,0.0026798000326380134,52.49187919998076,poster,"[-0.09074074074074075, -0.07962962962962963]","[-0.3425925925925926, -0.31666666666666665]","[1, 1]","[0, 0]","[0, 0]","[3.692919399938546, 4.708120899973437]",['text_3'],01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
,T_hi_t,tshirt,old,,,,,0,8,8,2,52.50752779992763,,,,,,,,52.49264959990978,52.50752779992763,52.50752779992763,52.50752779992763,0.002764199976809323,57.33847550000064,tshirt,[-0.04722222222222222],[-0.287962962962963],[1],[0],[0],[4.841977100004442],['text_3'],01,001,2024-10-25_12h05.12.788,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h05.30.648644 +0530,
