pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,triangle.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.016706999973393977,,0.010125800035893917,0.016706999973393977,1.0003990000113845,1.0003990000113845,1.0003990000113845,1.0003990000113845,1.0172990000573918,2.0152387999696657,2.0152387999696657,3.0166982000228018,x,1,0.8842959000030532,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
150,v,0,1,1,1,,,,,3.0240498000057414,,3.0201305000809953,3.0240498000057414,4.031167600071058,4.031167600071058,4.031167600071058,4.031167600071058,4.031167600071058,5.029863100033253,5.029863100033253,5.84759560006205,v,1,0.8049271999625489,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
50,c,0,2,2,2,,,,,5.86260840005707,,5.849485800019465,5.86260840005707,6.8620175999822095,6.8620175999822095,6.8620175999822095,6.8620175999822095,6.878647200064734,7.860658499994315,7.860658499994315,8.944944399991073,c,1,1.0773832000559196,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-150,z,0,3,3,3,,,,,8.959495700080879,,8.947052199975587,8.959495700080879,9.959421399980783,9.959421399980783,9.959421399980783,9.959421399980783,9.959421399980783,10.957569100079127,10.957569100079127,11.35945960006211,z,1,0.3855097000487149,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-50,x,1,0,4,0,,,,,11.373839400010183,,11.362221500021406,11.373839400010183,12.373084300081246,12.373084300081246,12.373084300081246,12.373084300081246,12.373084300081246,13.372023400035687,13.372023400035687,13.890413000015542,x,1,0.5089235999621451,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
150,v,1,1,5,1,,,,,13.90484660002403,,13.89254550007172,13.90484660002403,14.903842100058682,14.903842100058682,14.903842100058682,14.903842100058682,14.903842100058682,15.902950900024734,15.902950900024734,16.238664200063795,v,1,0.3268512999638915,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
50,c,1,2,6,2,,,,,16.252729900064878,,16.24074290005956,16.252729900064878,17.251857300056145,17.251857300056145,17.251857300056145,17.251857300056145,17.251857300056145,18.251131299999543,18.251131299999543,18.669368500006385,c,1,0.41177190002053976,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-150,z,1,3,7,3,,,,,18.683989700046368,,18.67176759999711,18.683989700046368,19.683644899982028,19.683644899982028,19.683644899982028,19.683644899982028,19.683644899982028,20.681976600084454,20.681976600084454,21.000064100022428,z,1,0.3112132999813184,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-50,x,2,0,8,0,,,,,21.014866500045173,,21.002151500084437,21.014866500045173,22.01437920005992,22.01437920005992,22.01437920005992,22.01437920005992,22.01437920005992,23.013064800063148,23.013064800063148,23.464165700017475,x,1,0.4494292000308633,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
150,v,2,1,9,1,,,,,23.47882279998157,,23.465418400010094,23.47882279998157,24.478719500009902,24.478719500009902,24.478719500009902,24.478719500009902,24.478719500009902,25.47733150003478,25.47733150003478,25.762198099982925,v,1,0.26797359995543957,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
50,c,2,2,10,2,,,,,25.77710599999409,,25.764430499984883,25.77710599999409,26.776755500002764,26.776755500002764,26.776755500002764,26.776755500002764,26.776755500002764,27.775278600049205,27.775278600049205,28.093207900063135,c,1,0.3003877999726683,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
-150,z,2,3,11,3,,,,,28.108271199977025,,28.09532580000814,28.108271199977025,29.108264700043947,29.108264700043947,29.108264700043947,29.108264700043947,29.108264700043947,30.105621400056407,30.105621400056407,30.422450500074774,z,1,0.3016558999661356,None,108142,001,2024-10-12_10h55.39.373,MotorSequenceLearning,2024.1.5,None,2024-10-12 10h55.45.871970 +0530,
